ID,Tenant Code,Trade Name,Tin,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
79240,ACT-LT000011,The Lemon Co,722-106-936-000,Payment,Unearned Rent Income,PRJV-02-95,GL0013085,2019-02-15,0000-00-00,,,0,-53500.00
79252,ACT-LT000005,Davids Salon,,Payment,Unearned Rent Income,PRJV-02-110,GL0013088,2019-02-26,0000-00-00,,,0,-107856.00
79228,ACT-LT000007,The Shawarma Shack,296-884-349-000,Payment,Unearned Rent Income,PRJV-03-108,GL0013083,2019-03-11,0000-00-00,,,0,-96300.00
78647,ACT-LT000010,Nails Dot Glow,,Payment,Unearned Rent Income,PRJV-131,GL0012998,2019-03-27,0000-00-00,,,0,-53500.00
110427,ACT-LT000008,Estrella Bakery,316-552-087-001,Payment,Unearned Rent Income,PRJV-115,GL0018032,2019-04-15,0000-00-00,,,0,-34479.68
110443,ACT-LT000062,Angels Wings Tours and Travel,153-899-818-000,Payment,Unearned Rent Income,PRJV-122,GL0018039,2019-06-03,0000-00-00,,,0,-53500.00
79276,ACT-LT000016,Golden Locket Jewelry Shop,,Payment,Unearned Rent Income,PRJV-06-149,GL0013094,2019-06-24,0000-00-00,,,0,-12840.00
78617,ACT-LT000003,Thirsty,121-512-132-000,Payment,Unearned Rent Income,PRJV-153,GL0012989,2019-06-27,0000-00-00,,,0,-53500.00
78628,ACT-LT000004,Turks Shawarma,211-157-680-001,Payment,Unearned Rent Income,PRJV-156,GL0012992,2019-06-28,0000-00-00,,,0,-53500.00
78571,ACT-LT000002,Antepara Sunglasses,004-724-825-007,Payment,Unearned Rent Income,PRJV-07000588-B,GL0012980,2019-07-18,0000-00-00,,,0,-64200.00
78565,ACT-LT000012,EO Executive Optical,009-904-219-005,Payment,Unearned Rent Income,PRJV-07000588-A,GL0012977,2019-07-18,0000-00-00,,,0,-118342.00
76673,ACT-LT000017,Goldilocks,,Payment,Unearned Rent Income,PR0000003,GL0012526,2019-07-25,0000-00-00,B-001,PNB,0,-5000.00
76671,ACT-LT000017,Goldilocks,,Payment,Unearned Rent Income,PR0000003,GL0012525,2019-07-25,0000-00-00,B-001,PNB,0,-47080.00
78139,ACT-LT000028,Dimsum Break,,Payment,Unearned Rent Income,PR0000005,GL0012869,2019-07-29,0000-00-00,B-001,PNB,0,-191958.00
78391,ACT-LT000029,Mister Donut,151-844-347-000,Payment,Unearned Rent Income,PR0000006,GL0012944,2019-07-30,0000-00-00,B-001,PNB,0,-64200.00
78667,ACT-LT000012,EO Executive Optical,009-904-219-005,Payment,Unearned Rent Income,B0005314,GL0012977,2019-07-31,0000-00-00,,,39904.46,0
79273,ACT-LT000005,Davids Salon,,Payment,Unearned Rent Income,B0005365,GL0013088,2019-07-31,0000-00-00,,,35151.12,0
79326,ACT-LT000009,Sunburst Fried Chicken,102-297-458-000,Payment,Unearned Rent Income,B0005369,GL0013002,2019-07-31,0000-00-00,,,33142.99,0
81581,ACT-LT000010,Nails Dot Glow,,Payment,Unearned Rent Income,B0005460,GL0012998,2019-07-31,0000-00-00,,,14447.50,0
79237,ACT-LT000007,The Shawarma Shack,296-884-349-000,Payment,Unearned Rent Income,B0005361,GL0013083,2019-07-31,0000-00-00,,,14426.25,0
80087,ACT-LT000015,Potato Corner,010-314-863-000,Payment,Unearned Rent Income,B0005410,GL0013047,2019-07-31,0000-00-00,,,12698.25,0
79186,ACT-LT000017,Goldilocks,,Payment,Unearned Rent Income,B0005356,GL0012525,2019-07-31,0000-00-00,,,12425.50,0
81440,ACT-LT000004,Turks Shawarma,211-157-680-001,Payment,Unearned Rent Income,B0005455,GL0012992,2019-07-31,0000-00-00,,,10985.50,0
79160,ACT-LT000003,Thirsty,121-512-132-000,Payment,Unearned Rent Income,B0005352,GL0012989,2019-07-31,0000-00-00,,,7505.50,0
79167,ACT-LT000002,Antepara Sunglasses,004-724-825-007,Payment,Unearned Rent Income,B0005353,GL0012980,2019-07-31,0000-00-00,,,6305.50,0
79249,ACT-LT000011,The Lemon Co,722-106-936-000,Payment,Unearned Rent Income,B0005363,GL0013085,2019-07-31,0000-00-00,,,5585.50,0
79179,ACT-LT000018,Merry Mango,741-952-254-000,Payment,Unearned Rent Income,B0005355,GL0012982,2019-07-31,0000-00-00,,,5264.75,0
79293,ACT-LT000016,Golden Locket Jewelry Shop,,Payment,Unearned Rent Income,B0005366,GL0013094,2019-07-31,0000-00-00,,,2096.75,0
78684,ACT-LT000009,Sunburst Fried Chicken,102-297-458-000,Payment,Unearned Rent Income,PRJV-04-14,GL0013002,2019-07-31,0000-00-00,,,0,-153348.12
78890,ACT-LT000015,Potato Corner,010-314-863-000,Payment,Unearned Rent Income,PR0000008,GL0013047,2019-08-02,0000-00-00,B-001,PNB,0,-76667.40
78902,ACT-LT000034,DUNKIN DONUTS,005-886-781-013,Payment,Unearned Rent Income,PR0000010,GL0013050,2019-08-02,0000-00-00,B-001,PNB,0,-82954.96
80767,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,,Payment,Unearned Rent Income,PR0000011,GL0013236,2019-08-15,0000-00-00,B-001,PNB,0,-42800.00
80788,ACT-LT000021,Alvas Chicharon,151-009-472-000,Payment,Unearned Rent Income,PR0000012,GL0013239,2019-08-16,0000-00-00,B-001,PNB,0,-42800.00
