ID,Tenant Code,Trade Name,Tin,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
79254,ACT-LT000005,Davids Salon,005-886-677-000,Payment,Construction Bond,PRJV-02-110,GL0013089,2019-02-26,0000-00-00,,,0,-100800.00
78649,ACT-LT000010,Nails Dot Glow,,Payment,Construction Bond,PRJV-131,GL0012999,2019-03-27,0000-00-00,,,0,-50000.00
110429,ACT-LT000008,Estrella Bakery,316-552-087-001,Payment,Construction Bond,PRJV-115,GL0018033,2019-04-15,0000-00-00,,,0,-32224.00
110447,ACT-LT000062,Angels Wings Tours and Travel,153-899-818-000,Payment,Construction Bond,PRJV-122,GL0018041,2019-06-03,0000-00-00,,,0,-50000.00
75335,ACT-LT000001,"Ibex Global Solutions (Philippines), Inc.",009-704-508-000,Payment,Construction Bond,PRJV-07000016,GL0012302,2019-07-04,0000-00-00,,,0,-3908979.00
78567,ACT-LT000012,EO Executive Optical,009-904-219-005,Payment,Construction Bond,PRJV-07000588-A,GL0012978,2019-07-18,0000-00-00,,,0,-110600.00
78143,ACT-LT000028,Dimsum Break,,Payment,Construction Bond,PR0000005,GL0012871,2019-07-29,0000-00-00,B-001,PNB,0,-179400.00
78686,ACT-LT000009,Sunburst Fried Chicken,102-297-458-000,Payment,Construction Bond,PRJV-04-14,GL0013003,2019-07-31,0000-00-00,,,0,-143316.00
78900,ACT-LT000034,DUNKIN DONUTS,005-886-781-013,Payment,Construction Bond,PR23553,GL0013049,2019-08-02,0000-00-00,B-001,PNB,0,-77528.00
99522,ACT-LT000014,Jollibee,004-917-250-001,Payment,Construction Bond,PRJV#09-665,GL0016257,2019-09-06,0000-00-00,,,0,-397230.00
87561,ACT-LT000049,Golden Locket Jewelry Shop New,,Payment,Construction Bond,PR23561,GL0014215,2019-09-19,0000-00-00,B-001,PNB,0,-50000.00
93497,ACT-LT000013,The Prawn Farm,009-657-620-002,Payment,Construction Bond,PRJV#10-119,GL0015243,2019-10-05,0000-00-00,,,0,-368250.00
101456,ACT-LT000057,Body and Sole,915-951-665-000,Payment,Construction Bond,PR23564,GL0016486,2019-11-26,0000-00-00,B-001,PNB,0,-58368.00
113850,ACT-LT000048,Hukad,,Payment,Construction Bond,PR0002033,GL0018326,2020-01-18,0000-00-00,B-003,PNB,0,-166618.00
200042,ACT-LT000010,Nails Dot Glow,,Payment,Construction Bond,P0011697,GL0012999,2021-06-30,0000-00-00,,,50000.00,0
228057,ACT-LT000215,Standard Insurance,000-821-466-029,Payment,Construction Bond,PR0002877,GL0035949,2021-09-21,0000-00-00,B-003,PNB,0,-105052.00
243625,ACT-LT000192,Bobolloon Balloon Art,,Payment,Construction Bond-Preop Clearing,UFT0004810,GL0038072,2021-11-08,0000-00-00,B-003,PNB,0,-68090.00
273856,ACT-LT000270,BOHOL GLUTA SHOP,317-465-449-000,Payment,Construction Bond-Preop Clearing,UFT0005487,GL0042083,2022-05-06,0000-00-00,B-003,PNB,0,-35000.00
298556,ACT-LT000284,HAPPYVILLE KIDS PLAY CENTER,,Payment,Construction Bond-Preop Clearing,UFT0006071,GL0045555,2022-06-02,,B-003,PNB,0,-50000.00
271867,ACT-LT000215,Standard Insurance,000-821-466-029,Payment,Construction Bond,P0011722,GL0035949,2022-08-31,0000-00-00,,,105052.00,0
336846,ACT-LT000574,"China Bank Savings, Inc.",000-504-532-000,Payment,Construction Bond-Preop Clearing,UFT0007062,GL0050553,2023-06-01,,B-003,PNB,0,-200000.00
357070,ACT-LT000605,The Loop by Power Mac Center,008-388-234-000,Payment,Construction Bond,AR0058218,GL0053356,2023-09-27,,B-003,PNB,0,-41484.00
