ID,Tenant Code,Trade Name,Tin,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
374818,ACT-LT000014,Jollibee,004-917-250-001,Payment,Rent Receivables,OR0004810,GL0054979,2024-01-02,,B-003,PNB,0,-1112825.82
377201,ACT-LT000014,Jollibee,004-917-250-001,Payment,Rent Receivables,OR0004824,GL0055895,2024-01-02,,B-003,PNB,0,-1419792.68
372789,ACT-ST000128,"Standard Insurance Co.,Inc. - Standee",000-821-466-029,Payment,Rent Receivables,OR0004859,GL0055311,2024-01-03,,B-003,PNB,0,-1553.22
372781,ACT-ST000128,"Standard Insurance Co.,Inc. - Standee",000-821-466-029,Payment,Rent Receivables,OR0004859,GL0055307,2024-01-03,,B-003,PNB,0,-3210.00
372783,ACT-ST000128,"Standard Insurance Co.,Inc. - Standee",000-821-466-029,Payment,Rent Receivables,OR0004859,GL0055308,2024-01-03,,B-003,PNB,0,-3210.00
372785,ACT-ST000128,"Standard Insurance Co.,Inc. - Standee",000-821-466-029,Payment,Rent Receivables,OR0004859,GL0055309,2024-01-03,,B-003,PNB,0,-3210.00
372787,ACT-ST000128,"Standard Insurance Co.,Inc. - Standee",000-821-466-029,Payment,Rent Receivables,OR0004859,GL0055310,2024-01-03,,B-003,PNB,0,-3210.00
377335,ACT-ST000127,EO Executive Optical -Storage Room Occupancy,009-904-219-005,Invoice,Rent Receivables,I-NT0000270,GL-NT0000445,2024-01-05,2024-01-13,,,8560.00,0
379297,ACT-ST000127,EO Executive Optical -Storage Room Occupancy,009-904-219-005,Invoice,Rent Receivables,I-NT0000300,GL-NT0000475,2024-01-05,2024-01-13,,,8560.00,0
379301,ACT-ST000127,EO Executive Optical -Storage Room Occupancy,009-904-219-005,Invoice Adjustment,Rent Receivables,I-NT0000270,GL-NT0000445,2024-01-05,2024-01-13,,,0,-8560.00
374901,ACT-LT000002,Antepara Sunglasses,,Payment,Rent Receivables,OR0004813,GL0055368,2024-01-05,,B-003,PNB,0,-32100.00
373348,ACT-LT000176,PT TELCO DISTRIBUTIONS INC.,,Payment,Rent Receivables,OR0004861,GL0054444,2024-01-05,,B-003,PNB,0,-42800.00
373354,ACT-LT000013,The Prawn Farm,,Payment,Rent Receivables,OR0004862,GL0054999,2024-01-05,,B-003,PNB,0,-394027.50
373520,ACT-LT000187,L ROYALE SKIN CARE AND WELLNESS SHOP,,Payment,Rent Receivables,OR0004863,GL0053524,2024-01-08,,B-003,PNB,0,-0.40
373512,ACT-LT000187,L ROYALE SKIN CARE AND WELLNESS SHOP,,Payment,Rent Receivables,OR0004863,GL0051734,2024-01-08,,B-003,PNB,0,-7202.80
373522,ACT-LT000011,The Lemon Co,,Payment,Rent Receivables,OR0004864,GL0054415,2024-01-08,,B-003,PNB,0,-17120.00
373516,ACT-LT000187,L ROYALE SKIN CARE AND WELLNESS SHOP,,Payment,Rent Receivables,OR0004863,GL0052719,2024-01-08,,B-003,PNB,0,-28248.00
374897,ACT-LT000004,Turks Shawarma,,Payment,Rent Receivables,OR0004812,GL0055398,2024-01-08,,B-003,PNB,0,-42800.00
376392,ACT-LT000065,Rulls Cellphone Accessories,,Payment,Rent Receivables,OR0004820,GL0055406,2024-01-08,,B-003,PNB,0,-48150.00
373588,ACT-LT000005,Davids Salon,,Payment,Rent Receivables,OR0004865,GL0055400,2024-01-08,,B-003,PNB,0,-104575.38
374939,ACT-LT000012,EO Executive Optical,,Payment,Rent Receivables,OR0004814,GL0055370,2024-01-08,,B-003,PNB,0,-118342.00
376452,ACT-LT000007,The Shawarma Shack,,Payment,Rent Receivables,OR0004821,GL0051183,2024-01-09,,B-003,PNB,0,-32100.00
