ID,Tenant Code,Trade Name,Tin,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
15844,ACT-ST000051,Shop21 Fashion Boutique,751-435-698-000,Invoice Adjustment,Rent Income,IC0001419,GL0001447,2024-01-18,2024-01-26,,,10000.00,0
15850,ACT-ST000051,Shop21 Fashion Boutique,751-435-698-000,Invoice,Rent Income,IC0002423,GL0002490,2024-01-18,2024-01-28,,,0,-5806.45
8325,ACT-ST000051,Shop21 Fashion Boutique,751-435-698-000,Invoice,Rent Income,IC0001419,GL0001447,2024-01-18,2024-01-26,,,0,-10000.00
15848,ACT-ST000051,Shop21 Fashion Boutique,751-435-698-000,Invoice Adjustment,Rent Income,IC0001616,GL0001654,2024-01-19,2024-01-27,,,15000.00,0
10288,ACT-ST000051,Shop21 Fashion Boutique,751-435-698-000,Invoice,Rent Income,IC0001616,GL0001654,2024-01-19,2024-01-27,,,0,-15000.00
5115,ACT-LT000225,Miniso,347-873-958-000,Invoice Adjustment,Rent Income,IC0000537,GL0000533,2024-01-31,2024-02-10,,,159024.60,0
3895,ACT-LT000037,Chowking,004-917-256-007,Invoice Adjustment,Rent Income,IC0000722,GL0000737,2024-01-31,2024-02-15,,,137505.96,0
8140,ACT-LT000028,Dimsum Break,009-726-880-001,Invoice Adjustment,Rent Income,IC0001401,GL0001427,2024-01-31,2024-02-15,,,86253.00,0
5048,ACT-LT000625,SILVER BEST JD TRADING CORP.,618-119-965-005,Invoice Adjustment,Rent Income,IC0000355,GL0000355,2024-01-31,2024-02-10,,,24000.00,0
7200,ACT-LT000384,Jollibee - Billboard,009-657-532-002,Invoice Adjustment,Rent Income,IC0000338,GL0000338,2024-01-31,2024-02-10,,,5000.00,0
589,ACT-LT000384,Jollibee - Billboard,009-657-532-002,Invoice,Rent Income,IC0000131,GL0000131,2024-01-31,2024-02-10,,,0,-5000.00
1575,ACT-LT000384,Jollibee - Billboard,009-657-532-002,Invoice,Rent Income,IC0000338,GL0000338,2024-01-31,2024-02-10,,,0,-5000.00
4230,ACT-LT000167,PNB ATM 01,000-188-209-137,Invoice,Rent Income,IC0000767,GL0000784,2024-01-31,2024-02-10,,,0,-6000.00
4236,ACT-LT000168,PNB ATM 02,000-188-209-137,Invoice,Rent Income,IC0000769,GL0000786,2024-01-31,2024-02-10,,,0,-6000.00
15854,ACT-ST000051,Shop21 Fashion Boutique,751-435-698-000,Invoice,Rent Income,IC0002424,GL0002491,2024-01-31,2024-02-10,,,0,-6290.31
259,ACT-LT000401,Bless Luck Refreshment Kiosk,918-980-720-002,Invoice,Rent Income,IC0000056,GL0000056,2024-01-31,2024-02-10,,,0,-8000.00
219,ACT-LT000182,Vitabella Bubble Drink and Coffee Shop,232-640-091-000,Invoice,Rent Income,IC0000047,GL0000047,2024-01-31,2024-02-10,,,0,-8000.00
311,ACT-LT000381,LFAFA EXPRESS DE STRESS,111-161-677-010,Invoice,Rent Income,IC0000067,GL0000067,2024-01-31,2024-02-10,,,0,-10000.00
10354,ACT-ST000026,Magchos,318-968-657-000,Invoice,Rent Income,IC0001619,GL0001657,2024-01-31,2024-02-10,,,0,-10000.00
128,ACT-LT000007,The Shawarma Shack,213-914-653-000,Invoice,Rent Income,IC0000027,GL0000027,2024-01-31,2024-02-10,,,0,-10000.00
293,ACT-LT000581,Too Nice to Slice Cake Gallery,009-995-831-000,Invoice,Rent Income,IC0000063,GL0000063,2024-01-31,2024-02-10,,,0,-10000.00
5058,ACT-LT000625,SILVER BEST JD TRADING CORP.,618-119-965-005,Invoice,Rent Income,IC0000865,GL0000886,2024-01-31,2024-02-10,,,0,-13161.30
228,ACT-LT000187,L ROYALE SKIN CARE AND WELLNESS SHOP,133-891-233-002,Invoice,Rent Income,IC0000049,GL0000049,2024-01-31,2024-02-10,,,0,-13200.00
35,ACT-LT000021,Alvas Chicharon,151-009-472-000,Invoice,Rent Income,IC0000007,GL0000007,2024-01-31,2024-02-10,,,0,-14000.00
302,ACT-LT000573,Famous Belgian Waffle,258-257-796-000,Invoice,Rent Income,IC0000065,GL0000065,2024-01-31,2024-02-10,,,0,-15000.00
192,ACT-LT000163,Musashi Takoyaki,451-228-724-000,Invoice,Rent Income,IC0000041,GL0000041,2024-01-31,2024-02-10,,,0,-15000.00
99,ACT-LT000029,Mister Donut,151-844-347-004,Invoice,Rent Income,IC0000021,GL0000021,2024-01-31,2024-02-10,,,0,-16000.00
75,ACT-LT000011,The Lemon Co,722-106-936-000,Invoice,Rent Income,IC0000015,GL0000015,2024-01-31,2024-02-10,,,0,-16000.00
84,ACT-LT000047,AVOMANGO FOOD CORNER,735-173-527-000,Invoice,Rent Income,IC0000017,GL0000017,2024-01-31,2024-02-10,,,0,-20000.00
