ID,Tenant Code,Trade Name,Tin,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
374818,ACT-LT000014,Jollibee,009-657-532-002,Payment,Rent Receivables,OR0004810,GL0054979,2024-01-02,,B-003,PNB,0,-556412.91
377201,ACT-LT000014,Jollibee,009-657-532-002,Payment,Rent Receivables,OR0004824,GL0055895,2024-01-02,,B-003,PNB,0,-709896.34
372789,ACT-ST000128,"Standard Insurance Co.,Inc. - Standee",000-821-466-029,Payment,Rent Receivables,OR0004859,GL0055311,2024-01-03,,B-003,PNB,0,-1553.22
372781,ACT-ST000128,"Standard Insurance Co.,Inc. - Standee",000-821-466-029,Payment,Rent Receivables,OR0004859,GL0055307,2024-01-03,,B-003,PNB,0,-3210.00
372783,ACT-ST000128,"Standard Insurance Co.,Inc. - Standee",000-821-466-029,Payment,Rent Receivables,OR0004859,GL0055308,2024-01-03,,B-003,PNB,0,-3210.00
372785,ACT-ST000128,"Standard Insurance Co.,Inc. - Standee",000-821-466-029,Payment,Rent Receivables,OR0004859,GL0055309,2024-01-03,,B-003,PNB,0,-3210.00
372787,ACT-ST000128,"Standard Insurance Co.,Inc. - Standee",000-821-466-029,Payment,Rent Receivables,OR0004859,GL0055310,2024-01-03,,B-003,PNB,0,-3210.00
377335,ACT-ST000127,EO Executive Optical -Storage Room Occupancy,009-904-219-005,Invoice,Rent Receivables,I-NT0000270,GL-NT0000445,2024-01-05,2024-01-13,,,4280.00,0
379297,ACT-ST000127,EO Executive Optical -Storage Room Occupancy,009-904-219-005,Invoice,Rent Receivables,I-NT0000300,GL-NT0000475,2024-01-05,2024-01-13,,,4280.00,0
379304,ACT-ST000127,EO Executive Optical -Storage Room Occupancy,009-904-219-005,Invoice Adjustment,Rent Income,I-NT0000270,GL-NT0000445,2024-01-05,2024-01-13,,,4000.00,0
