ID,Tenant Code,Trade Name,Tin,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
41433,AM-LT000057,CORE PACIFIC MONEY EXCHANGE,216-230-827-037,Payment,Construction Bond,AR#000358,GL0006641,2014-06-05,0000-00-00,B-008,PNB,0,-30000.00
110169,AM-LT000126,LINZYS CELLPHONE ACCESSORIES,,Payment,Construction Bond,AR#000360,GL0017995,2014-06-11,0000-00-00,B-008,PNB,0,-20000.00
110175,AM-LT000031,CHERRY MOBILE,258-560-481-002,Payment,Construction Bond,AR#000360,GL0017997,2014-06-11,0000-00-00,B-008,PNB,0,-30000.00
41435,AM-LT000055,IDEAL VISION CENTER,004-724-825-005,Payment,Construction Bond,AR#000361,GL0006642,2014-06-19,0000-00-00,B-008,PNB,0,-50988.00
87359,AM-LT000116,SAMSUNG,,Payment,Construction Bond,AR#0727,GL0014197,2014-07-30,0000-00-00,B-015,PNB,0,-58776.00
103511,AM-LT000117,SAVE N` EARN - 5F,,Payment,Construction Bond,AR#000367,GL0016943,2014-08-20,0000-00-00,B-008,PNB,0,-84180.00
41437,AM-LT000054,ABENSON,006-121-117-000,Payment,Construction Bond,AR#000370,GL0006643,2014-10-27,0000-00-00,B-008,PNB,0,-135644.00
41439,AM-LT000021,DUNKIN DONUTS,005-886-781-011,Payment,Construction Bond,AR#000385,GL0006644,2016-02-04,0000-00-00,B-008,PNB,0,-39032.00
41441,AM-LT000058,M. LHUILLIER PHILIPPINES INC,002-394-238-010,Payment,Construction Bond,AR#000395,GL0006645,2016-07-26,0000-00-00,B-008,PNB,0,-32000.00
41443,AM-LT000018,GOLDILOCKS,,Payment,Construction Bond,AR#000409,GL0006646,2016-11-05,0000-00-00,B-008,PNB,0,-45168.00
41445,AM-LT000044,RC LUCKY GRAPHICS,907-379-497-000,Payment,Construction Bond,AR#000412,GL0006647,2016-11-14,0000-00-00,B-008,PNB,0,-30000.00
41455,AM-LT000021,DUNKIN DONUTS,005-886-781-011,Payment,Construction Bond,AR#000419,GL0006649,2017-01-13,0000-00-00,B-008,PNB,0,-968.00
