ID,Tenant Code,Trade Name,Tin,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
374697,AM-ST000518,GLAM SKINCARE COSMETICS,N/A,Invoice,VAT Output,IC0054966,GL0055986,2024-01-02,2024-01-12,,,0,-1200.00
374262,AM-ST000497,LEWIS  GLANZ CONSULTING,010-275-820-000,Invoice,VAT Output,IC0054925,GL0055941,2024-01-03,2024-01-13,,,0,-3600.00
372868,AM-ST000402,AP BOWHOL ARCHERY RANGE,,Invoice,VAT Output,IC0054766,GL0055771,2024-01-07,2024-01-15,,,0,-7200.00
373842,AM-LT000809,RIBSHACK  GRILL CORP. - STORAGE ROOM,,Invoice,VAT Output,IC0054892,GL0055904,2024-01-18,2024-01-28,,,0,-2400.00
379448,AM-LT001006,VANTAGE FINANCIAL CORPORATION,,Invoice Adjustment,VAT Output,I-NT0000265,GL-NT0000436,2024-01-31,2024-02-10,,,6480.00,0
382304,AM-LT000873,ANNSHEREP FRAPPE MILKSHAKE STATION,ON PROCESS,Invoice Adjustment,VAT Output,I-NT0000257,GL-NT0000427,2024-01-31,2024-02-10,,,600.00,0
376620,AM-LT000873,ANNSHEREP FRAPPE MILKSHAKE STATION,ON PROCESS,Invoice,VAT Output,I-NT0000257,GL-NT0000427,2024-01-31,2024-02-10,,,0,-1800.00
377029,AM-LT000968,SILVER BEST,ON PROCESS,Invoice,VAT Output,I-NT0000263,GL-NT0000434,2024-01-31,2024-02-10,,,0,-3600.00
378850,AM-LT001019,EFFLORESCENCE BYGEM GIFT SHOP,361-816-709-000,Invoice,VAT Output,I-NT0000286,GL-NT0000461,2024-01-31,2024-02-10,,,0,-4335.48
377039,AM-LT001006,VANTAGE FINANCIAL CORPORATION,,Invoice,VAT Output,I-NT0000265,GL-NT0000436,2024-01-31,2024-02-10,,,0,-6480.00
