ID,Tenant Code,Trade Name,Tin,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
374695,AM-ST000518,GLAM SKINCARE COSMETICS,N/A,Invoice,Rent Receivables,IC0054966,GL0055986,2024-01-02,2024-01-12,,,10700.00,0
372129,AM-ST000402,AP BOWHOL ARCHERY RANGE,,Payment,Rent Receivables,OR0020644,GL0055083,2024-01-02,,B-015,PNB,0,-64200.00
374260,AM-ST000497,LEWIS  GLANZ CONSULTING,010-275-820-000,Invoice,Rent Receivables,IC0054925,GL0055941,2024-01-03,2024-01-13,,,32100.00,0
376322,AM-LT000069,GREENWICH - BILLBOARD,,Payment,Rent Receivables,OR0020695,GL0055013,2024-01-03,,B-015,PNB,0,-9300.00
374088,AM-LT000053,PHILIPPINE NATIONAL BANK - ATM,000-188-209-137,Payment,Rent Receivables,OR0020678,GL0055256,2024-01-03,,B-015,PNB,0,-9420.89
376326,AM-LT000006,GREENWICH -GTG,,Payment,Rent Receivables,OR0020694,GL0054972,2024-01-03,,B-015,PNB,0,-13246.84
374076,AM-LT000023,PHILIPPINE NATIONAL BANK,000-188-209-647,Payment,Rent Receivables,OR0020677,GL0055254,2024-01-03,,B-015,PNB,0,-126924.32
376330,AM-LT000005,GREENWICH,,Payment,Rent Receivables,OR0020693,GL0054975,2024-01-03,,B-015,PNB,0,-360335.72
373021,AM-LT000080,SKIN FIX WELLNESS AND BEAUTY CENTER,,Payment,Rent Receivables,OR0020645,GL0045347,2024-01-04,,B-015,PNB,0,-18108.00
373013,AM-LT000080,SKIN FIX WELLNESS AND BEAUTY CENTER,,Payment,Rent Receivables,OR0020645,GL0043793,2024-01-04,,B-015,PNB,0,-53500.00
373017,AM-LT000080,SKIN FIX WELLNESS AND BEAUTY CENTER,,Payment,Rent Receivables,OR0020645,GL0044487,2024-01-04,,B-015,PNB,0,-53500.00
373213,AM-LT000196,TL MABUHAY DRIVING LESSONS ACADEMY INC. - NEW,,Payment,Rent Receivables,OR0020649,GL0055533,2024-01-05,,B-015,PNB,0,-10792.18
373211,AM-LT000196,TL MABUHAY DRIVING LESSONS ACADEMY INC. - NEW,,Payment,Rent Receivables,OR0020648,GL0055533,2024-01-05,,B-015,PNB,0,-17300.00
381061,AM-LT000042,UNISILVER,215-024-976-000,Payment,Rent Receivables,0020747,GL0055812,2024-01-05,,B-009,Banks of the Philippine Islands,0,-28130.63
373332,AM-LT000402,MERAKI INFUSION AESTHETIC AND WELLNESS CENTER,,Payment,Rent Receivables,OR0020301,GL0047385,2024-01-05,,B-015,PNB,0,-31892.08
373324,AM-LT000402,MERAKI INFUSION AESTHETIC AND WELLNESS CENTER,,Payment,Rent Receivables,OR0020301,GL0045207,2024-01-05,,B-015,PNB,0,-32100.00
373328,AM-LT000402,MERAKI INFUSION AESTHETIC AND WELLNESS CENTER,,Payment,Rent Receivables,OR0020301,GL0045857,2024-01-05,,B-015,PNB,0,-32100.00
376111,AM-LT000055,IDEAL VISION CENTER,004-724-825-005,Payment,Rent Receivables,OR0020689,GL0055607,2024-01-05,,B-015,PNB,0,-44649.65
379527,AM-LT000784,SLOW HANDS HEALTH AND WELLNESS CENTER,,Payment,Rent Receivables,0020743,GL0054610,2024-01-05,,B-015,PNB,0,-66631.04
373209,AM-LT000196,TL MABUHAY DRIVING LESSONS ACADEMY INC. - NEW,,Payment,Rent Receivables,OR0020647,GL0055533,2024-01-05,,B-015,PNB,0,-93860.00
372866,AM-ST000402,AP BOWHOL ARCHERY RANGE,,Invoice,Rent Receivables,IC0054766,GL0055771,2024-01-07,2024-01-15,,,64200.00,0
373396,AM-LT000177,MAXI MANGO,,Payment,Rent Receivables,OR20302,GL0055631,2024-01-07,,B-015,PNB,0,-25680.00
381331,AM-ST000422,STICKER RACE PRINTS AND DESIGNS (ADBOX),,Invoice,Rent Receivables,IC-0055357,GL0056476,2024-01-08,2024-01-18,,,2000.00,0
376129,AM-LT000015,TURKS SHAWARMA,211-157-680-003,Payment,Rent Receivables,OR0020686,GL0055713,2024-01-08,,B-015,PNB,0,-17695.12
376125,AM-LT000063,POTATO CORNER,,Payment,Rent Receivables,OR0020687,GL0053093,2024-01-08,,B-015,PNB,0,-32100.00
376121,AM-LT000863,RULLS CELLPHONE AND ACCESSORIES INC.,287-630-372-001,Payment,Rent Receivables,OR0020688,GL0055678,2024-01-08,,B-015,PNB,0,-53500.00
373617,AM-LT000127,NAILAX AESTHETIC AND WELLNESS CLINIC,,Payment,Rent Receivables,OR20303,GL0055649,2024-01-08,,B-015,PNB,0,-64723.22
373939,AM-LT000796,VITA BELLA,000-170-549-546,Payment,Rent Receivables,OR0020307,GL0054789,2024-01-09,,B-015,PNB,0,-16050.00
373880,AM-LT000810,YLAYA ORALCARE DENTAL CLINIC,252-210-449-000,Payment,Rent Receivables,OR0020306,GL0055586,2024-01-09,,B-015,PNB,0,-28408.50
373958,AM-LT000040,LYDIAS TICKETING OUTLET,924-146-926-005,Payment,Rent Receivables,OR0020309,GL0055786,2024-01-09,,B-015,PNB,0,-28806.31
376211,AM-LT000045,"LBC EXPRESS, INC.",000-782-140-000,Payment,Rent Receivables,OR0020690,GL0055619,2024-01-09,,B-015,PNB,0,-29491.87
374017,AM-LT000025,MARCELA CHICKEN - B. INTING,,Payment,Rent Receivables,OR0020304,GL0053635,2024-01-09,,B-015,PNB,0,-29660.40
373954,AM-LT000057,CORE PACIFIC MONEY EXCHANGE,216-230-827-037,Payment,Rent Receivables,OR0020308,GL0055578,2024-01-09,,B-015,PNB,0,-33705.00
373837,AM-LT000403,SHANDRIE MEDICAL CLINIC,,Payment,Rent Receivables,OR0020305,GL0055537,2024-01-09,,B-015,PNB,0,-82689.60
374058,AM-LT000048,CHIKITINGS PLAYHOUSE,499-340-420-001,Payment,Rent Receivables,OR0020310,GL0055573,2024-01-10,,B-015,PNB,0,-8560.00
374126,AM-LT000841,K-BIMBOY KOREAN RESTAURANT,000-409-490-990,Payment,Rent Receivables,OR0020313,GL0053618,2024-01-10,,B-015,PNB,0,-16050.00
