ID,Tenant Code,Trade Name,Tin,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
376998,AM-LT000402,MERAKI INFUSION AESTHETIC AND WELLNESS CENTER,,Payment,Rent Receivables,0020349,GL0047385,2024-02-01,,B-015,PNB,0,-207.92
377155,AM-LT000010,MASTER SIOMAI,,Payment,Rent Receivables,OR0020707,GL0051924,2024-02-01,,B-009,Banks of the Philippine Islands,0,-12002.00
377159,AM-LT000010,MASTER SIOMAI,,Payment,Rent Receivables,OR0020707,GL0052945,2024-02-01,,B-009,Banks of the Philippine Islands,0,-21400.00
377165,AM-LT000010,MASTER SIOMAI,,Payment,Rent Receivables,OR0020707,GL0053633,2024-02-01,,B-009,Banks of the Philippine Islands,0,-21400.00
377169,AM-LT000010,MASTER SIOMAI,,Payment,Rent Receivables,OR0020707,GL0054573,2024-02-01,,B-009,Banks of the Philippine Islands,0,-21400.00
377173,AM-LT000010,MASTER SIOMAI,,Payment,Rent Receivables,OR0020707,GL0055625,2024-02-01,,B-009,Banks of the Philippine Islands,0,-21400.00
377002,AM-LT000402,MERAKI INFUSION AESTHETIC AND WELLNESS CENTER,,Payment,Rent Receivables,0020349,GL0047778,2024-02-01,,B-015,PNB,0,-32100.00
377006,AM-LT000402,MERAKI INFUSION AESTHETIC AND WELLNESS CENTER,,Payment,Rent Receivables,0020349,GL0048610,2024-02-01,,B-015,PNB,0,-32100.00
377010,AM-LT000080,SKIN FIX WELLNESS AND BEAUTY CENTER,,Payment,Rent Receivables,OR0020350,GL0045347,2024-02-01,,B-015,PNB,0,-35392.00
377018,AM-LT000080,SKIN FIX WELLNESS AND BEAUTY CENTER,,Payment,Rent Receivables,OR0020350,GL0047387,2024-02-01,,B-015,PNB,0,-36528.00
377014,AM-LT000080,SKIN FIX WELLNESS AND BEAUTY CENTER,,Payment,Rent Receivables,OR0020350,GL0046427,2024-02-01,,B-015,PNB,0,-53500.00
377020,AM-LT000001,CHOWKING,,Payment,Rent Receivables,OR0020351,GL0054964,2024-02-01,,B-015,PNB,0,-389224.38
377137,AM-LT000188,RIBSHACK GRILL CORPORATION,,Payment,Rent Receivables,OR0020705,GL0055900,2024-02-01,,B-015,PNB,0,-562547.20
377409,AM-ST000497,LEWIS  GLANZ CONSULTING,010-275-820-000,Invoice,Rent Receivables,IC-0055057,GL0056120,2024-02-03,2024-02-13,,,32100.00,0
376616,AM-ST000531,EZD MARKETING,N/A,Invoice,Rent Receivables,IC0055041,GL0056088,2024-02-04,2024-02-12,,,42800.00,0
377129,AM-LT000035,ST. PATRICKS ROAST,151-009-472-015,Payment,Rent Receivables,OR0020354,GL0055079,2024-02-05,,B-015,PNB,0,-12840.00
377121,AM-LT000027,ALVAS CHICHARON AND FRIED CHICKEN,191-731-269-000,Payment,Rent Receivables,OR0020352,GL0055076,2024-02-05,,B-015,PNB,0,-15000.00
377125,AM-LT000002,OFELIA`S CANTEEN SERVICES,,Payment,Rent Receivables,OR0020353,GL0055074,2024-02-05,,B-015,PNB,0,-20000.00
377219,AM-LT000035,ST. PATRICKS ROAST,151-009-472-015,Payment,Rent Receivables,OR0020357,GL0055951,2024-02-06,,B-015,PNB,0,-12840.00
377211,AM-LT000027,ALVAS CHICHARON AND FRIED CHICKEN,191-731-269-000,Payment,Rent Receivables,OR0020355,GL0055954,2024-02-06,,B-015,PNB,0,-15000.00
377215,AM-LT000002,OFELIA`S CANTEEN SERVICES,,Payment,Rent Receivables,OR0020356,GL0055956,2024-02-06,,B-015,PNB,0,-20000.00
377621,AM-LT000660,JM SHAWARMA,,Payment,Rent Receivables,0020725,GL0055611,2024-02-06,,B-015,PNB,0,-21400.00
377615,AM-LT000119,MERRY MANGO,,Payment,Rent Receivables,0020726,GL0055639,2024-02-06,,B-015,PNB,0,-32100.00
377207,AM-LT000141,RJBM PAWNSHOP,,Payment,Rent Receivables,OR0020359,GL0054686,2024-02-06,,B-015,PNB,0,-42800.00
381212,AM-ST000402,AP BOWHOL ARCHERY RANGE,,Invoice,Rent Receivables,IC-0055344,GL0056463,2024-02-07,2024-02-15,,,64200.00,0
380339,AM-LT000873,ANNSHEREP FRAPPE MILKSHAKE STATION,ON PROCESS,Invoice,Rent Receivables,I-NT0000345,GL-NT0000528,2024-02-07,2024-02-17,,,3874.13,0
382307,AM-LT000873,ANNSHEREP FRAPPE MILKSHAKE STATION,ON PROCESS,Invoice Adjustment,Rent Receivables,I-NT0000345,GL-NT0000528,2024-02-07,2024-02-17,,,0,-1458.00
379475,AM-LT000873,ANNSHEREP FRAPPE MILKSHAKE STATION,ON PROCESS,Payment,Rent Receivables,P0011755,GL-NT0000427,2024-02-07,,,,0,-7290.70
379467,AM-LT000873,ANNSHEREP FRAPPE MILKSHAKE STATION,ON PROCESS,Payment,Rent Receivables,P0011755,GL-NT0000342,2024-02-07,,,,0,-13461.30
379471,AM-LT000873,ANNSHEREP FRAPPE MILKSHAKE STATION,ON PROCESS,Payment,Rent Receivables,P0011755,GL-NT0000380,2024-02-07,,,,0,-16050.00
381365,AM-ST000402,AP BOWHOL ARCHERY RANGE,,Invoice Adjustment,Rent Receivables,IC-0055344,GL0056463,2024-02-07,2024-02-15,,,0,-64200.00
377474,AM-LT000047,FAMOUS BELGIAN WAFFLE,258-257-796-003,Payment,Rent Receivables,20362,GL0054493,2024-02-09,,B-015,PNB,0,-16050.00
377482,AM-LT000028,PAYAG RESTAURANT,925-723-401-000,Payment,Rent Receivables,20361,GL0054662,2024-02-09,,B-015,PNB,0,-17655.00
377550,AM-LT000125,BEBIES LECHON BABOY - NEW,,Payment,Rent Receivables,0020363,GL0044495,2024-02-12,,B-015,PNB,0,-399.98
377562,AM-LT000125,BEBIES LECHON BABOY - NEW,,Payment,Rent Receivables,0020363,GL0047256,2024-02-12,,B-015,PNB,0,-7340.02
377554,AM-LT000125,BEBIES LECHON BABOY - NEW,,Payment,Rent Receivables,0020363,GL0045342,2024-02-12,,B-015,PNB,0,-9630.00
377558,AM-LT000125,BEBIES LECHON BABOY - NEW,,Payment,Rent Receivables,0020363,GL0046432,2024-02-12,,B-015,PNB,0,-9630.00
377564,AM-ST000418,JEWELYNNE FASHION GALLERIES,,Payment,Rent Receivables,0020360,GL0055937,2024-02-12,,B-015,PNB,0,-39097.50
377619,AM-ST000503,SUZUKI AUTO BOHOL,409-013-117-005,Payment,Rent Receivables,0020364,GL0056004,2024-02-12,,B-015,PNB,0,-46596.78
377965,AM-LT000051,CHG GLOBAL INC,007-150-435-080,Payment,Rent Receivables,0020730,GL0055850,2024-02-12,,B-015,PNB,0,-88255.21
378112,AM-ST000063,INENGS FLOWER SHOP,,Invoice,Rent Receivables,IC-0055085,GL0056170,2024-02-14,2024-02-24,,,12000.00,0
377710,AM-ST000539,EFFLORESCENCE BYGEM GIFT SHOP (EXHIBIT),ON PROCESS,Invoice,Rent Receivables,I-NT0000272,GL-NT0000447,2024-02-14,2024-02-24,,,5000.00,0
377857,AM-ST000142,JOJIE`S PA-INITANG BOL-ANON,,Payment,Rent Receivables,0020365,GL0051964,2024-02-15,,B-015,PNB,0,-64200.00
377861,AM-ST000142,JOJIE`S PA-INITANG BOL-ANON,,Payment,Rent Receivables,0020365,GL0052200,2024-02-15,,B-015,PNB,0,-64200.00
377865,AM-ST000142,JOJIE`S PA-INITANG BOL-ANON,,Payment,Rent Receivables,0020365,GL0052218,2024-02-15,,B-015,PNB,0,-64200.00
377869,AM-ST000142,JOJIE`S PA-INITANG BOL-ANON,,Payment,Rent Receivables,0020365,GL0052460,2024-02-15,,B-015,PNB,0,-64200.00
377873,AM-ST000142,JOJIE`S PA-INITANG BOL-ANON,,Payment,Rent Receivables,0020365,GL0054128,2024-02-15,,B-015,PNB,0,-64200.00
377877,AM-ST000142,JOJIE`S PA-INITANG BOL-ANON,,Payment,Rent Receivables,0020365,GL0055659,2024-02-15,,B-015,PNB,0,-64200.00
377881,AM-ST000142,JOJIE`S PA-INITANG BOL-ANON,,Payment,Rent Receivables,0020365,GL0055661,2024-02-15,,B-015,PNB,0,-64200.00
377923,AM-ST000539,EFFLORESCENCE BYGEM GIFT SHOP (EXHIBIT),ON PROCESS,Payment,Rent Receivables,0052957,GL-NT0000447,2024-02-16,,B-015,PNB,0,-5000.00
381309,AM-ST000509,ACCESS DIRECT VISA  AND TRAVEL SERVICES,N/A,Invoice,Rent Receivables,IC-0055352,GL0056471,2024-02-21,2024-02-29,,,2000.00,0
381312,AM-ST000509,ACCESS DIRECT VISA  AND TRAVEL SERVICES,N/A,Payment,Rent Receivables,B0027800,GL0056471,2024-02-21,,,,0,-2000.00
378127,AM-ST000538,PTTORAKABIKA EKA,N/A,Payment,Rent Receivables,0052955,GL0056165,2024-02-22,,B-015,PNB,0,-1500.00
378223,AM-ST000063,INENGS FLOWER SHOP,,Payment,Rent Receivables,0052959,GL0056170,2024-02-22,,B-015,PNB,0,-12000.00
378845,AM-ST000497,LEWIS  GLANZ CONSULTING,010-275-820-000,Payment,Rent Receivables,0020733,GL0055941,2024-02-22,,B-015,PNB,0,-32100.00
378847,AM-ST000497,LEWIS  GLANZ CONSULTING,010-275-820-000,Payment,Rent Receivables,0020734,GL0056120,2024-02-22,,B-015,PNB,0,-32100.00
378293,AM-LT000036,GECKO TOURS AND TRAVELS,,Payment,Rent Receivables,0020367,GL0054525,2024-02-23,,B-015,PNB,0,-3821.00
378281,AM-LT000049,THIRSTY,121-512-132-004,Payment,Rent Receivables,0020366,GL0054742,2024-02-23,,B-015,PNB,0,-16050.00
378285,AM-LT000049,THIRSTY,121-512-132-004,Payment,Rent Receivables,0020366,GL0055710,2024-02-23,,B-015,PNB,0,-16050.00
378289,AM-LT000036,GECKO TOURS AND TRAVELS,,Payment,Rent Receivables,0020367,GL0053600,2024-02-23,,B-015,PNB,0,-30723.00
378565,AM-ST000542,SIDONUMCUL,N/A,Invoice,Rent Receivables,IC-0055158,GL0056242,2024-02-24,2024-03-03,,,1000.00,0
377754,AM-ST000537,SCOOP AND LOADED ICE CREAM STATION (STORAGE ROOM),733-720-820-000,Invoice,Rent Receivables,IC-0055077,GL0056150,2024-02-27,2024-03-06,,,1200.00,0
378722,AM-ST000542,SIDONUMCUL,N/A,Payment,Rent Receivables,0052958,GL0056242,2024-02-28,,B-015,PNB,0,-1000.00
378861,AM-LT001019,EFFLORESCENCE BYGEM GIFT SHOP,ON PROCESS,Invoice,Rent Receivables,I-NT0000288,GL-NT0000463,2024-02-29,2024-03-10,,,42800.00,0
378744,AM-LT000968,SILVER BEST,ON PROCESS,Invoice,Rent Receivables,I-NT0000284,GL-NT0000459,2024-02-29,2024-03-10,,,32100.00,0
379233,AM-LT000002,OFELIA`S CANTEEN SERVICES,,Invoice,Rent Receivables,IC-0055179,GL0056269,2024-02-29,2024-03-10,,,20000.00,0
380026,AM-ST000544,PARKING REGISTRATION AND EMPLOYEES PARKING FEE,N/A,Invoice,Rent Receivables,IC-0055243,GL0056341,2024-02-29,2024-03-08,,,11700.00,0
379832,AM-LT001049,MASTER SIOMAI (NEW),266-069-379-000,Invoice,Rent Receivables,IC-0055229,GL0056326,2024-02-29,2024-03-10,,,9593.10,0
378755,AM-LT000053,PHILIPPINE NATIONAL BANK - ATM,000-188-209-137,Invoice,Rent Receivables,IC-0055168,GL0056253,2024-02-29,2024-03-10,,,9420.89,0
378876,AM-LT000873,ANNSHEREP FRAPPE MILKSHAKE STATION,ON PROCESS,Invoice,Rent Receivables,I-NT0000291,GL-NT0000466,2024-02-29,2024-03-10,,,3874.13,0
380167,AM-LT000060,AZE DEAL,,Invoice,Rent Receivables,I-NT0000338,GL-NT0000521,2024-02-29,2024-03-10,,,1280.00,0
388100,AM-LT000061,VENDO CORPORATION,,Invoice,Rent Receivables,I-NT0000641,GL-NT0000865,2024-02-29,2024-03-10,,,330.00,0
389322,AM-LT000060,AZE DEAL,,Invoice Adjustment,Rent Receivables,I-NT0000338,GL-NT0000521,2024-02-29,2024-03-10,,,0,-320.00
380335,AM-LT000873,ANNSHEREP FRAPPE MILKSHAKE STATION,ON PROCESS,Invoice Adjustment,Rent Receivables,I-NT0000291,GL-NT0000466,2024-02-29,2024-03-10,,,0,-3874.13
