ID,Tenant Code,Trade Name,Tin,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
381044,AM-ST000551,"KUMON GRAHAM AVENUE, TAGBILARAN CENTER",N/A,Invoice,Rent Receivables,IC-0055330,GL0056446,2024-05-01,2024-05-09,,,2500.00,0
381294,AM-LT001049,MASTER SIOMAI (NEW),266-069-379-000,Payment,Rent Receivables,0020748,GL0056326,2024-05-02,,B-015,PNB,0,-9593.10
381298,AM-LT001049,MASTER SIOMAI (NEW),266-069-379-000,Payment,Rent Receivables,0020748,GL0056328,2024-05-02,,B-015,PNB,0,-10700.00
382228,AM-ST000539,EFFLORESCENCE BYGEM GIFT SHOP (EXHIBIT),ON PROCESS,Payment,Rent Receivables,0052972,GL-NT0000558,2024-05-04,,B-015,PNB,0,-5000.00
380919,AM-LT001019,EFFLORESCENCE BYGEM GIFT SHOP,ON PROCESS,Payment,Rent Receivables,20389,GL-NT0000535,2024-05-04,,B-015,PNB,0,-42800.00
381018,AM-ST000546,SAN MIGUEL FOODS,N/A,Invoice,Rent Receivables,IC-0055327,GL0056443,2024-05-05,2024-05-13,,,1000.00,0
380953,AM-LT000125,BEBIES LECHON BABOY - NEW,,Payment,Rent Receivables,0020387,GL0055775,2024-05-06,,B-015,PNB,0,-670.02
380941,AM-LT000125,BEBIES LECHON BABOY - NEW,,Payment,Rent Receivables,0020387,GL0052602,2024-05-06,,B-015,PNB,0,-7069.98
380935,AM-LT001045,HAPPYICE-SCRAMBLE BRGY. POB 2 TAGBILARAN BOHOL DESSERT SHOP,ON PROCESS,Payment,Rent Receivables,0020390,GL-NT0000537,2024-05-06,,B-015,PNB,0,-8829.03
380945,AM-LT000125,BEBIES LECHON BABOY - NEW,,Payment,Rent Receivables,0020387,GL0053388,2024-05-06,,B-015,PNB,0,-9630.00
380949,AM-LT000125,BEBIES LECHON BABOY - NEW,,Payment,Rent Receivables,0020387,GL0055773,2024-05-06,,B-015,PNB,0,-9630.00
380955,AM-LT000002,OFELIA`S CANTEEN SERVICES,,Payment,Rent Receivables,0020388,GL0056269,2024-05-06,,B-015,PNB,0,-20000.00
381321,AM-ST000402,AP BOWHOL ARCHERY RANGE,,Invoice,Rent Receivables,IC-0055354,GL0056473,2024-05-07,2024-05-17,,,64200.00,0
