ID,Tenant Code,Trade Name,Tin,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
10338,AM-ST000398,LEYLAM - BILLBOARD,009-331-123-040,Payment,Rent Receivables-RR Clearing,UFT0000178,GL0000083,2024-01-06,,B-002,PNB - Main,0,-5350.00
379,AM-ST000398,LEYLAM - BILLBOARD,009-331-123-040,Invoice,Rent Receivables,IC0000083,GL0000083,2024-01-14,2024-01-22,,,5350.00,0
382,AM-ST000398,LEYLAM - BILLBOARD,009-331-123-040,Invoice,Creditable WHT Receivable,IC0000083,GL0000083,2024-01-14,2024-01-22,,,250.00,0
381,AM-ST000398,LEYLAM - BILLBOARD,009-331-123-040,Invoice,VAT Output,IC0000083,GL0000083,2024-01-14,2024-01-22,,,0,-600.00
1299,AM-LT000029,APOLLO MOBILE PHONE AND ACCESSORIES HUB,419-135-963-000,Payment,Rent Receivables,PS0000001,GL0000080,2024-01-30,,B-015,PNB,19260.00,-38520.00
2808,AM-LT000003,JOLLIBEE,005-370-051-000,Invoice,Rent Receivables,IC0000592,GL0000586,2024-01-31,2024-02-15,,,551235.87,0
2735,AM-LT000188,RIBSHACK GRILL CORPORATION,482-862-212-000,Invoice,Rent Receivables,IC0000578,GL0000572,2024-01-31,2024-02-15,,,219581.31,0
3896,AM-LT000001,CHOWKING,004-917-250-005,Invoice,Rent Receivables,IC0000723,GL0000738,2024-01-31,2024-02-15,,,181074.03,0
2906,AM-LT000005,GREENWICH,004-917-250-004,Invoice,Rent Receivables,IC0000602,GL0000603,2024-01-31,2024-02-15,,,180167.86,0
2081,AM-LT000054,ABENSON,006-121-117-000,Invoice,Rent Receivables,IC0000446,GL0000445,2024-01-31,2024-02-10,,,176424.42,0
2634,AM-LT000112,PENSHOPPE,000-068-427-000,Invoice,Rent Receivables,IC0000562,GL0000557,2024-01-31,2024-02-15,,,132617.31,0
348,AM-LT000023,PHILIPPINE NATIONAL BANK,000-188-209-647,Invoice,Rent Receivables,IC0000075,GL0000075,2024-01-31,2024-02-10,,,126924.32,0
511,AM-LT000086,DAISO JAPAN,007-079-853-090,Invoice,Rent Receivables,IC0000114,GL0000114,2024-01-31,2024-02-10,,,116021.05,0
2630,AM-LT000039,BENCH,000-844-246-000,Invoice,Rent Receivables,IC0000560,GL0000556,2024-01-31,2024-02-15,,,90327.72,0
2570,AM-LT000004,RED RIBBON,005-370-051-004,Invoice,Rent Receivables,IC0000550,GL0000546,2024-01-31,2024-02-15,,,73927.55,0
2739,AM-LT000051,CHG GLOBAL INC,007-150-435-080,Invoice,Rent Receivables,IC0000579,GL0000573,2024-01-31,2024-02-15,,,69246.92,0
2521,AM-LT000196,TL MABUHAY DRIVING LESSONS ACADEMY INC. - NEW,009-771-989-072,Invoice,Rent Receivables,IC0000542,GL0000538,2024-01-31,2024-02-10,,,60976.09,0
2104,AM-LT000449,OXYGEN,000-068-427-010,Invoice,Rent Receivables,IC0000450,GL0000449,2024-01-31,2024-02-15,,,50924.51,0
8523,AM-LT000131,GLOBE TELECOM INC. - Basic Rent,000-768-480-000,Invoice,Rent Receivables,IC0001453,GL0001481,2024-01-31,2024-02-10,,,47056.63,0
1272,AM-LT000117,SAVE N` EARN - 5F,005-886-978-005,Invoice,Rent Receivables,IC0000275,GL0000275,2024-01-31,2024-02-10,,,45036.30,0
607,AM-LT000055,IDEAL VISION CENTER,004-724-825-005,Invoice,Rent Receivables,IC0000135,GL0000135,2024-01-31,2024-02-08,,,45009.65,0
551,AM-LT000021,"CHOCO HILL FOOD CHAIN, INC.",005-886-781-011,Invoice,Rent Receivables,IC0000122,GL0000122,2024-01-31,2024-02-10,,,44940.00,0
2241,AM-LT000044,RC LUCKY GRAPHICS,907-379-497-000,Invoice,Rent Receivables,IC0000482,GL0000481,2024-01-31,2024-02-10,,,42800.00,0
1394,AM-LT000403,SHANDRIE MEDICAL CLINIC,759-139-393-000,Invoice,Rent Receivables,IC0000300,GL0000300,2024-01-31,2024-02-10,,,41344.80,0
878,AM-LT000058,M. LHUILLIER PHILIPPINES INC,002-394-238-010,Invoice,Rent Receivables,IC0000193,GL0000193,2024-01-31,2024-02-10,,,39637.08,0
2758,AM-LT000018,GOLDILOCKS,000-624-099-000,Invoice,Rent Receivables,IC0000583,GL0000577,2024-01-31,2024-02-15,,,37370.07,0
480,AM-LT000079,CLOA PAWNSHOP,915-952-578-009,Invoice,Rent Receivables,IC0000107,GL0000107,2024-01-31,2024-02-10,,,35310.00,0
2117,AM-LT000111,LEYLAM,009-331-123-040,Invoice,Rent Receivables,IC0000453,GL0000452,2024-01-31,2024-02-10,,,35310.00,0
2171,AM-LT000784,SLOW HANDS HEALTH AND WELLNESS CENTER,183-636-204-000,Invoice,Rent Receivables,IC0000465,GL0000464,2024-01-31,2024-02-08,,,34981.30,0
1004,AM-LT000087,JOJIE`S PAINITANG BOL-ANON,118-675-290-027,Invoice,Rent Receivables,IC0000219,GL0000219,2024-01-31,2024-02-10,,,34849.90,0
489,AM-LT000057,CORE PACIFIC MONEY EXCHANGE,216-230-827-037,Invoice,Rent Receivables,IC0000109,GL0000109,2024-01-31,2024-02-10,,,33705.00,0
563,AM-LT000514,DITO TELECOMMUNITY CORPORATION,235-139-214-000,Invoice,Rent Receivables,IC0000124,GL0000124,2024-01-31,2024-02-10,,,33705.00,0
927,AM-LT000127,NAILAX AESTHETIC AND WELLNESS CLINIC,208-970-098-000,Invoice,Rent Receivables,IC0000203,GL0000203,2024-01-31,2024-02-10,,,32361.61,0
2095,AM-LT000130,BEAUTY AND BEYOND FACIAL AND SLIMMING,439-219-664-000,Invoice,Rent Receivables,IC0000448,GL0000447,2024-01-31,2024-02-10,,,32100.00,0
396,AM-LT000121,BIG JEWELRY CREATION,937-987-547-001,Invoice,Rent Receivables,IC0000087,GL0000087,2024-01-31,2024-02-10,,,32100.00,0
2822,AM-LT000042,UNISILVER,215-024-976-000,Invoice,Rent Receivables,IC0000594,GL0000588,2024-01-31,2024-02-10,,,32100.00,0
3519,AM-LT000040,LYDIAS TICKETING OUTLET,924-146-926-005,Invoice,Rent Receivables,IC0000660,GL0000671,2024-01-31,2024-02-10,,,30966.48,0
1178,AM-LT000082,RICHER TEA,343-795-945-000,Invoice,Rent Receivables,IC0000255,GL0000255,2024-01-31,2024-02-10,,,30896.25,0
1413,AM-LT000008,SMART - Rent,001-901-673-000,Invoice,Rent Receivables,IC0000304,GL0000304,2024-01-31,2024-02-10,,,30111.95,0
749,AM-LT000045,LBC,000-782-140-000,Invoice,Rent Receivables,IC0000165,GL0000165,2024-01-31,2024-02-10,,,29491.87,0
532,AM-LT000810,YLAYA ORALCARE DENTAL CLINIC,252-210-449-000,Invoice,Rent Receivables,IC0000118,GL0000118,2024-01-31,2024-02-10,,,28408.50,0
