ID,Tenant Code,Trade Name,Tin,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
7173,AM-ST000524,TWENTY20 CARWASH,195-604-831-000,Invoice,Rent Income,IC0001242,GL0001268,2024-03-01,2024-03-11,,,0,-12000.00
4174,AM-ST000142,JOJIE`S PA-INITANG BOL-ANON,118-675-290-027,Invoice,Rent Income,IC0000760,GL0000775,2024-03-01,2024-03-11,,,0,-20000.00
9121,AM-ST000025,CHG GLOBAL INC - EXHIBIT,007-150-435-080,Invoice,Rent Income,IC0001530,GL0001562,2024-03-01,2024-03-11,,,0,-50000.00
11068,AM-ST000402,AP BOWHOL ARCHERY RANGE,728-917-886-000,Invoice,Rent Income,IC0001736,GL0001777,2024-03-07,2024-03-15,,,0,-20000.00
10334,AM-ST000398,LEYLAM - BILLBOARD,009-331-123-040,Invoice,Rent Income,IC0001618,GL0001656,2024-03-14,2024-03-22,,,0,-5000.00
9774,AM-LT000809,RIBSHACK  GRILL CORP. - STORAGE ROOM,482-862-212-000,Invoice Adjustment,Rent Income,IC0001304,GL0001330,2024-03-18,2024-03-28,,,10000.00,0
5293,AM-LT000809,RIBSHACK  GRILL CORP. - STORAGE ROOM,482-862-212-000,Invoice,Rent Income,IC0000898,GL0000923,2024-03-18,2024-03-26,,,0,-10000.00
7556,AM-LT000809,RIBSHACK  GRILL CORP. - STORAGE ROOM,482-862-212-000,Invoice,Rent Income,IC0001304,GL0001330,2024-03-18,2024-03-28,,,0,-10000.00
13754,AM-LT000004,RED RIBBON,005-370-051-004,Invoice Adjustment,Rent Income,IC0002216,GL0002266,2024-03-31,2024-04-15,,,69091.17,0
12144,AM-LT000867,OUR DELI BREAD /,006-121-744-000,Invoice Adjustment,Rent Income,IC0001938,GL0001983,2024-03-31,2024-04-10,,,40000.00,0
13343,AM-LT000795,SISIG SARAP CO.,331-454-628-000,Invoice Adjustment,Rent Income,IC0002018,GL0002062,2024-03-31,2024-04-10,,,30000.00,0
12358,AM-LT000065,RC LUCKY GRAPHICS -STICKER,907-379-497-000,Invoice,Rent Income,IC0001979,GL0002024,2024-03-31,2024-04-10,,,0,-3000.00
15152,AM-LT000066,RED RIBBON - BILLBOARD,005-370-051-004,Invoice,Rent Income,IC0002390,GL0002454,2024-03-31,2024-04-15,,,0,-3000.00
13859,AM-LT000006,GREENWICH -GTG,000-491-725-000,Invoice,Rent Income,IC0002229,GL0002279,2024-03-31,2024-04-15,,,0,-4398.32
12815,AM-LT000070,ABENSON - BILLBOARD,006-121-117-000,Invoice,Rent Income,IC0002063,GL0002109,2024-03-31,2024-04-10,,,0,-5000.00
20168,AM-LT000068,CHOWKING - BILLBOARD,004-917-250-005,Invoice,Rent Income,IC0003150,GL0003231,2024-03-31,2024-04-15,,,0,-5000.00
13974,AM-LT000069,GREENWICH - BILLBOARD,004-917-250-004,Invoice,Rent Income,IC0002236,GL0002289,2024-03-31,2024-04-15,,,0,-5000.00
13966,AM-LT000067,JOLLIBEE - BILLBOARD,005-370-051-000,Invoice,Rent Income,IC0002235,GL0002288,2024-03-31,2024-04-15,,,0,-5000.00
11172,AM-LT000053,PHILIPPINE NATIONAL BANK - ATM,000-188-209-137,Invoice,Rent Income,IC0001759,GL0001800,2024-03-31,2024-04-10,,,0,-8804.57
14760,AM-LT000125,BEBIES LECHON BABOY - NEW,433-593-433-000,Invoice,Rent Income,IC0002336,GL0002392,2024-03-31,2024-04-10,,,0,-9000.00
11260,AM-LT000450,BUKO FRESH AND ICE SCRAMBLE,198-704-766-000,Invoice,Rent Income,IC0001779,GL0001820,2024-03-31,2024-04-10,,,0,-10000.00
11440,AM-LT000844,K DROP-ROLL EGG TRADING,629-837-952-000,Invoice,Rent Income,IC0001815,GL0001857,2024-03-31,2024-04-10,,,0,-10000.00
12070,AM-LT000343,MUSASHI TAKOYAKI BOHOL 3,451-228-724-003,Invoice,Rent Income,IC0001925,GL0001970,2024-03-31,2024-04-10,,,0,-10000.00
12319,AM-LT000190,QUADTECHNOLOGY MOBILE PHONES AND ACCESSORIES,714-818-650-001,Invoice,Rent Income,IC0001972,GL0002017,2024-03-31,2024-04-10,,,0,-10000.00
11509,AM-LT000855,LFAFA EXPRESS DE STRESS,111-161-677-010,Invoice,Rent Income,IC0001825,GL0001867,2024-03-31,2024-04-10,,,0,-12000.00
12494,AM-LT000052,SECURITY BANK - ATM,000-498-020-000,Invoice,Rent Income,IC0002008,GL0002052,2024-03-31,2024-04-10,,,0,-12733.88
13142,AM-LT000484,TECHLIFE,005-886-978-005,Invoice,Rent Income,IC0002116,GL0002163,2024-03-31,2024-04-08,,,0,-14193.55
11269,AM-LT000838,CAROL`S FOOD PRODUCTS,000-226-069-263,Invoice,Rent Income,IC0001781,GL0001822,2024-03-31,2024-04-10,,,0,-15000.00
11344,AM-LT000036,GECKO TOURS AND TRAVELS,429-078-900-001,Invoice,Rent Income,IC0001796,GL0001838,2024-03-31,2024-04-10,,,0,-15000.00
11392,AM-LT000845,JECK`S RESTAURANT,707-482-461-000,Invoice,Rent Income,IC0001806,GL0001848,2024-03-31,2024-04-10,,,0,-15000.00
12208,AM-LT000841,K-BIMBOY KOREAN RESTAURANT,000-409-490-990,Invoice,Rent Income,IC0001956,GL0002001,2024-03-31,2024-04-10,,,0,-15000.00
11571,AM-LT000402,MERAKI INFUSION AESTHETIC AND WELLNESS CENTER,241-679-784-000,Invoice,Rent Income,IC0001838,GL0001880,2024-03-31,2024-04-10,,,0,-15000.00
12299,AM-LT000063,POTATO CORNER,474-783-214-011,Invoice,Rent Income,IC0001968,GL0002013,2024-03-31,2024-04-10,,,0,-15000.00
12360,AM-LT000335,REAL ME,005-886-978-061,Invoice,Rent Income,IC0001980,GL0002025,2024-03-31,2024-04-10,,,0,-15000.00
11320,AM-LT000981,SCOOP AND LOADED ICE CREAM STATION,733-720-820-000,Invoice,Rent Income,IC0001790,GL0001832,2024-03-31,2024-04-10,,,0,-15000.00
11814,AM-LT000796,VITA BELLA,000-170-549-546,Invoice,Rent Income,IC0001874,GL0001918,2024-03-31,2024-04-10,,,0,-15000.00
11788,AM-LT000663,SYNCHRO,009-712-605-000,Invoice,Rent Income,IC0001872,GL0001916,2024-03-31,2024-04-10,,,0,-16000.00
12441,AM-LT000668,SEAFRONT SEPO GRILL AND RESTAURANT,907-379-497-008,Invoice,Rent Income,IC0001996,GL0002041,2024-03-31,2024-04-10,,,0,-16500.00
12704,AM-LT001006,VANTAGE FINANCIAL CORPORATION,005-648-535-181,Invoice,Rent Income,IC0002044,GL0002089,2024-03-31,2024-04-10,,,0,-18000.00
11353,AM-LT001037,GENTS STYLE STAMPING SERVICES,308-002-342-000,Invoice,Rent Income,IC0001798,GL0001840,2024-03-31,2024-04-10,,,0,-20000.00
11427,AM-LT000660,JM SHAWARMA,445-949-756-001,Invoice,Rent Income,IC0001812,GL0001854,2024-03-31,2024-04-10,,,0,-20000.00
12396,AM-LT000141,RJBM PAWNSHOP,452-109-083-000,Invoice,Rent Income,IC0001988,GL0002033,2024-03-31,2024-04-10,,,0,-20000.00
11218,AM-LT000217,BLACK CHAI MILKTEA SHOP,941-015-593-001,Invoice,Rent Income,IC0001769,GL0001810,2024-03-31,2024-04-10,,,0,-24000.00
