ID,Tenant Code,Trade Name,Tin,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
34173,AM-LT000864,BUENAS SAUSAGES and FRIES,728-463-893-000,Payment,Unearned Rent Income,PS0001945,GL0005357,2024-01-01,,B-002,PNB - Main,0,-3350.96
127108,AM-LT001006,VANTAGE FINANCIAL CORPORATION,005-648-535-181,Payment,Unearned Rent Income,PS0002424,GL0006537,2024-01-01,,B-002,PNB - Main,0,-7351.57
159921,AM-LT000052,SECURITY BANK - ATM,000-498-020-000,Payment,Unearned Rent Income,PS0004511,GL0011278,2024-01-01,,B-002,PNB - Main,0,-9387.34
34799,AM-LT000402,MERAKI INFUSION AESTHETIC AND WELLNESS CENTER,241-679-784-000,Payment,Unearned Rent Income,PS0001963,GL0005482,2024-01-01,,B-002,PNB - Main,0,-10791.24
131760,AM-LT000064,GLOBE WIFI,000-768-480-000,Payment,Unearned Rent Income,PS0002756,GL0007192,2024-01-01,,B-002,PNB - Main,0,-13021.43
34353,AM-LT000514,DITO TELECOMMUNITY CORPORATION,235-139-214-000,Payment,Unearned Rent Income,PS0001946,GL0005396,2024-01-01,,B-002,PNB - Main,0,-14402.15
130510,AM-LT000131,GLOBE TELECOM INC. - Basic Rent,000-768-480-000,Payment,Unearned Rent Income,PS0002655,GL0007014,2024-01-01,,B-002,PNB - Main,0,-47405.48
129583,AM-LT000449,OXYGEN,000-068-427-010,Payment,Unearned Rent Income,PS0002541,GL0006926,2024-01-01,,B-002,PNB - Main,0,-54085.11
2942,AM-LT000051,CHG GLOBAL INC,007-150-435-080,Payment,Unearned Rent Income-URI Clearing,UFT0000008,GL0000609,2024-01-15,,B-002,PNB - Main,0,-250406.82
2943,AM-LT000051,CHG GLOBAL INC,007-150-435-080,Payment,Unearned Rent Income,SOA0000400,GL0000609,2024-01-31,,,,213386.16,0
