ID,Tenant Code,Trade Name,Tin,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
380,AM-ST000398,LEYLAM - BILLBOARD,009-331-123-040,Invoice,Rent Income,IC0000083,GL0000083,2024-01-14,2024-01-22,,,0.00,-5000.00
1114,AM-LT000065,RC LUCKY GRAPHICS -STICKER,907-379-497-000,Invoice,Rent Income,IC0000242,GL0000242,2024-01-31,2024-02-10,,,0.00,-3000.00
2453,AM-LT000066,RED RIBBON - BILLBOARD,005-370-051-004,Invoice,Rent Income,IC0000534,GL0000530,2024-01-31,2024-02-10,,,0.00,-3000.00
2506,AM-LT000070,ABENSON - BILLBOARD,006-121-117-000,Invoice,Rent Income,IC0000541,GL0000537,2024-01-31,2024-02-10,,,0.00,-5000.00
2367,AM-LT000068,CHOWKING - BILLBOARD,004-917-250-005,Invoice,Rent Income,IC0000518,GL0000514,2024-01-31,2024-02-10,,,0.00,-5000.00
2402,AM-LT000069,GREENWICH - BILLBOARD,004-917-250-004,Invoice,Rent Income,IC0000524,GL0000520,2024-01-31,2024-02-10,,,0.00,-5000.00
3028,AM-LT000067,JOLLIBEE - BILLBOARD,005-370-051-000,Invoice,Rent Income,IC0000608,GL0000613,2024-01-31,2024-02-15,,,0.00,-5000.00
2885,AM-LT000006,GREENWICH -GTG,000-491-725-000,Invoice,Rent Income,IC0000598,GL0000599,2024-01-31,2024-02-15,,,0.00,-6590.08
499,AM-LT000658,NOM NOM CORN DOGS SNACK BAR 1,427-884-233-000,Invoice,Rent Income,IC0000111,GL0000111,2024-01-31,2024-02-10,,,0.00,-8000.00
353,AM-LT000053,PHILIPPINE NATIONAL BANK - ATM,000-188-209-137,Invoice,Rent Income,IC0000076,GL0000076,2024-01-31,2024-02-10,,,0.00,-8804.57
5599,AM-LT000125,BEBIES LECHON BABOY - NEW,433-593-433-000,Invoice,Rent Income,IC0000957,GL0000981,2024-01-31,2024-02-10,,,0.00,-9000.00
450,AM-LT000450,BUKO FRESH AND ICE SCRAMBLE,198-704-766-000,Invoice,Rent Income,IC0000100,GL0000100,2024-01-31,2024-02-10,,,0.00,-10000.00
