ID,Tenant Code,Trade Name,Tin,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
3573,ASCT-LT000046,Potato Corner,924-984-019-000,Invoice,Rent Income,IC0000670,GL0000681,2024-01-27,2024-02-04,,,0,-15000.00
4322,ASCT-LT000476,TURKS SHAWARMA,211-157-680-007,Invoice Adjustment,Rent Income,I-NT0000004,GL-NT0000004,2024-01-31,2024-02-08,,,15000.00,0
4034,ASCT-LT000058,For Me,000-068-427-995,Invoice,Rent Income,IC0000734,GL0000750,2024-01-31,2024-02-08,,,0,-5375.32
3675,ASCT-LT000221,Golden Locket Jewelry Shop,758-079-643-001,Invoice,Rent Income,IC0000689,GL0000701,2024-01-31,2024-02-08,,,0,-8000.00
4960,ASCT-LT000256,Gangnam Oppa Korean Food Store,311-847-213-001,Invoice,Rent Income,IC0000849,GL0000866,2024-01-31,2024-02-08,,,0,-10000.00
3717,ASCT-LT000263,GOODIE-H FOOD HUB,611-197-647-000,Invoice,Rent Income,IC0000697,GL0000709,2024-01-31,2024-02-08,,,0,-10000.00
3620,ASCT-LT000060,Marcela Chicken,004-283-221-016,Invoice,Rent Income,IC0000678,GL0000689,2024-01-31,2024-02-08,,,0,-10000.00
3638,ASCT-LT000056,Pat and Jane Franchising Corp.,756-020-751-000,Invoice,Rent Income,IC0000682,GL0000693,2024-01-31,2024-02-08,,,0,-10000.00
3592,ASCT-LT000055,PCSO Lotto,266-788-129-000,Invoice,Rent Income,IC0000674,GL0000685,2024-01-31,2024-02-08,,,0,-10000.00
3450,ASCT-LT000009,SAVE N EARN,005-886-978-005,Invoice,Rent Income,IC0000648,GL0000659,2024-01-31,2024-02-08,,,0,-11000.00
3413,ASCT-LT000010,VIRGINIA HOTDOG,189-871-409-000,Invoice,Rent Income,IC0000640,GL0000651,2024-01-31,2024-02-08,,,0,-11000.00
3487,ASCT-LT000016,WAFFLE TIME,005-982-291-578,Invoice,Rent Income,IC0000654,GL0000665,2024-01-31,2024-02-08,,,0,-11000.00
