ID,Tenant Code,Trade Name,Tin,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
10,ASCT-LT000012,RDIAZ BUSINESS CENTER,,Payment,Unearned Rent Income,PR025262 - 025261,GL0000005,2018-05-09,,B-001,Land Bank of the Philippines,0,-12840.00
14,ASCT-LT000013,MASTER SIOMAI,,Payment,Unearned Rent Income,PR025263 - 025264,GL0000007,2018-05-18,,B-001,Land Bank of the Philippines,0,-25680.00
18,ASCT-LT000006,ZAGU PEARL SHAKE,295-262-045-002,Payment,Unearned Rent Income,PR025265,GL0000009,2018-05-18,,B-001,Land Bank of the Philippines,0,-25680.00
203,ASCT-LT000005,THIRSTY THE HEALTHY WAY,,Payment,Unearned Rent Income,PR025275,GL0000034,2018-05-25,,B-001,Land Bank of the Philippines,0,-21400.00
2,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,,Payment,Unearned Rent Income,PR025279 - 025280,GL0000001,2018-06-08,,B-001,Land Bank of the Philippines,0,-25680.00
391,ASCT-LT000007,JEWELRICH,006-806-199-075,Payment,Unearned Rent Income,PR025290,GL0000065,2018-06-26,,B-001,Land Bank of the Philippines,0,-40820.00
122,ASCT-LT000013,MASTER SIOMAI,,Payment,Unearned Rent Income,ASCT-B0000019,GL0000007,2018-06-30,,,,22934.66,0
130,ASCT-LT000006,ZAGU PEARL SHAKE,295-262-045-002,Payment,Unearned Rent Income,ASCT-B0000021,GL0000009,2018-06-30,,,,22819.66,0
126,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,,Payment,Unearned Rent Income,ASCT-B0000020,GL0000001,2018-06-30,,,,17858.66,0
141,ASCT-LT000012,RDIAZ BUSINESS CENTER,,Payment,Unearned Rent Income,ASCT-B0000024,GL0000005,2018-06-30,,,,7336.53,0
637,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,,Payment,Unearned Rent Income,PR025292,GL0000102,2018-07-04,,B-001,Land Bank of the Philippines,0,-10700.00
150,ASCT-LT000008,TECHNOCARE,,Payment,Unearned Rent Income,PR025301,GL0000029,2018-07-05,,B-001,Land Bank of the Philippines,0,-32100.00
163,ASCT-LT000009,SAVE N EARN,,Payment,Unearned Rent Income,PR025303,GL0000031,2018-07-10,,B-001,Land Bank of the Philippines,0,-21400.00
393,ASCT-LT000007,JEWELRICH,006-806-199-075,Payment,Unearned Rent Income,PR025298,GL0000066,2018-07-11,,B-001,Land Bank of the Philippines,0,-40820.00
375,ASCT-LT000019,LEYLAM,,Payment,Unearned Rent Income-Preop Clearing,ASCT-UFT0000001,GL0000060,2018-07-17,,B-001,Land Bank of the Philippines,0,-25680.00
1123,ASCT-LT000037,Miche Cellphone Accessories,,Payment,Unearned Rent Income-Preop Clearing,ASCT-UFT0000008,GL0000184,2018-07-18,,B-001,,0,-21400.00
589,ASCT-LT000007,JEWELRICH,006-806-199-075,Payment,Unearned Rent Income,ASCT-B0000062,GL0000065,2018-07-31,,,,40820.00,0
235,ASCT-LT000008,TECHNOCARE,,Payment,Unearned Rent Income,ASCT-B0000029,GL0000029,2018-07-31,,,,32100.00,0
344,ASCT-LT000009,SAVE N EARN,,Payment,Unearned Rent Income,ASCT-B0000037,GL0000031,2018-07-31,,,,21400.00,0
214,ASCT-LT000005,THIRSTY THE HEALTHY WAY,,Payment,Unearned Rent Income,ASCT-B0000028,GL0000034,2018-07-31,,,,21400.00,0
333,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,,Payment,Unearned Rent Income,ASCT-B0000035,GL0000001,2018-07-31,,,,7821.34,0
337,ASCT-LT000012,RDIAZ BUSINESS CENTER,,Payment,Unearned Rent Income,ASCT-B0000036,GL0000005,2018-07-31,,,,5503.47,0
323,ASCT-LT000006,ZAGU PEARL SHAKE,295-262-045-002,Payment,Unearned Rent Income,ASCT-B0000034,GL0000009,2018-07-31,,,,2861.00,0
321,ASCT-LT000013,MASTER SIOMAI,,Payment,Unearned Rent Income,ASCT-B0000033,GL0000007,2018-07-31,,,,2746.00,0
385,ASCT-LT000017,BUKO FACTORY,,Payment,Unearned Rent Income,PR025299,GL0000063,2018-08-02,,B-001,Land Bank of the Philippines,0,-12840.00
1223,ASCT-LT000033,ABENSON,,Payment,Unearned Rent Income,PR030095,GL0000191,2018-08-10,,,,0,-288365.00
395,ASCT-LT000007,JEWELRICH,006-806-199-075,Payment,Unearned Rent Income,PR030055,GL0000067,2018-08-17,,B-001,Land Bank of the Philippines,0,-81640.00
605,ASCT-LT000007,JEWELRICH,006-806-199-075,Payment,Unearned Rent Income,ASCT-B0000063,GL0000066,2018-08-31,,,,40820.00,0
529,ASCT-LT000017,BUKO FACTORY,,Payment,Unearned Rent Income,ASCT-B0000056,GL0000063,2018-08-31,,,,11287.82,0
647,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,,Payment,Unearned Rent Income,ASCT-B0000069,GL0000102,2018-08-31,,,,10700.00,0
1229,ASCT-LT000002,IDEAL VISION CENTER,,Payment,Unearned Rent Income,PR030063,GL0000194,2018-09-14,,B-001,Land Bank of the Philippines,0,-68480.00
735,ASCT-LT000007,JEWELRICH,006-806-199-075,Payment,Unearned Rent Income,ASCT-B0000073,GL0000067,2018-09-30,,,,40820.00,0
852,ASCT-LT000019,LEYLAM,,Payment,Unearned Rent Income,ASCT-B0000084,GL0000060,2018-09-30,,,,25680.00,0
838,ASCT-LT000017,BUKO FACTORY,,Payment,Unearned Rent Income,ASCT-B0000083,GL0000063,2018-09-30,,,,1552.18,0
1119,ASCT-LT000035,Lugaw ni Bossing,,Payment,Unearned Rent Income,PR30072,GL0000182,2018-10-03,,B-001,Land Bank of the Philippines,0,-12840.00
1109,ASCT-LT000007,JEWELRICH,006-806-199-075,Payment,Unearned Rent Income-PDC,PR030021,GL0000178,2018-10-29,,B-001,Land Bank of the Philippines,0,-40820.00
1111,ASCT-LT000007,JEWELRICH,006-806-199-075,Payment,Unearned Rent Income-PDC,PR030022,GL0000179,2018-10-29,,B-001,Land Bank of the Philippines,0,-40820.00
943,ASCT-LT000007,JEWELRICH,006-806-199-075,Payment,Unearned Rent Income,ASCT-B0000088,GL0000067,2018-10-31,,,,40820.00,0
1235,ASCT-LT000038,ASC TECH,,Payment,Unearned Rent Income,PR030086,GL0000197,2018-11-06,,B-001,Land Bank of the Philippines,0,-53500.00
1189,ASCT-LT000037,Miche Cellphone Accessories,,Payment,Unearned Rent Income,PR030089,GL0000186,2018-11-08,,,,0,-21400.00
1422,ASCT-LT000016,WAFFLE TIME,005-982-291-578,Payment,Unearned Rent Income,PR030098-A,GL0000244,2018-11-22,,B-001,Land Bank of the Philippines,0,-21400.00
1265,ASCT-LT000036,M Lhuillier,002-394-238-146,Payment,Unearned Rent Income,PR030097,GL0000200,2018-11-22,,B-001,Land Bank of the Philippines,0,-47080.00
