ID,Tenant Code,Trade Name,Tin,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
4021,ASCT-LT000014,JOLLIBEE,009-657-532-001,Invoice,A/R Non Trade Internal,IC0000733,GL0000749,2024-01-31,2024-02-08,,,629165.67,0
4118,ASCT-LT000077,CHOWKING,004-917-250-008,Invoice,A/R  Non Trade External,IC0000753,GL0000769,2024-01-31,2024-02-08,,,296314.69,0
5901,ASCT-LT000033,ABENSON,144-620-914-000,Invoice,A/R  Non Trade External,IC0001017,GL0001040,2024-01-31,2024-02-08,,,203328.37,0
3928,ASCT-LT000059,Penshoppe,000-068-427-996,Invoice,A/R  Non Trade External,IC0000724,GL0000739,2024-01-31,2024-02-08,,,111773.90,0
3975,ASCT-LT000214,The Buzz Cafe,275-290-239-014,Invoice,A/R  Non Trade External,IC0000728,GL0000743,2024-01-31,2024-02-08,,,85372.72,0
4972,ASCT-LT000577,WATSONS,214-706-591-000,Invoice,A/R  Non Trade External,IC0000852,GL0000869,2024-01-31,2024-02-08,,,78039.02,0
4149,ASCT-LT000034,RED RIBBON,000-330-151-000,Invoice,A/R Non Trade Internal,IC0000756,GL0000772,2024-01-31,2024-02-08,,,44484.24,0
4037,ASCT-LT000058,For Me,000-068-427-995,Invoice,A/R  Non Trade External,IC0000735,GL0000751,2024-01-31,2024-02-08,,,35836.05,0
3623,ASCT-LT000060,Marcela Chicken,004-283-221-016,Invoice,A/R  Non Trade External,IC0000679,GL0000690,2024-01-31,2024-02-08,,,28795.00,0
3346,ASCT-LT000578,IDEAL VISION CENTER,004-724-825-006,Invoice,A/R  Non Trade External,IC0000633,GL0000643,2024-01-31,2024-02-08,,,21737.60,0
3941,ASCT-LT000073,PNB,000-188-209-753,Invoice,A/R  Non Trade External,IC0000726,GL0000741,2024-01-31,2024-02-08,,,14334.00,0
3471,ASCT-LT000172,SAVE N EARN 02,005-886-978-060,Invoice,A/R  Non Trade External,IC0000651,GL0000662,2024-01-31,2024-02-08,,,13351.03,0
3984,ASCT-LT000056,Pat and Jane Franchising Corp.,756-020-751-000,Invoice,A/R  Non Trade External,IC0000729,GL0000744,2024-01-31,2024-02-08,,,12305.00,0
3604,ASCT-LT000057,Santinos Italian Pizza Slices,934-667-877-000,Invoice,A/R  Non Trade External,IC0000677,GL0000688,2024-01-31,2024-02-08,,,11185.00,0
