ID,Tenant Code,Trade Name,Tin,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
2260,ATT-LT000008,MFI-MARCELA CHICKEN,004-283-221-012,Invoice,Rent Income,IC0000486,GL0000485,2024-01-31,2024-02-08,,,0,-18000.00
2213,ATT-LT000006,TURKS,211-157-680-000,Invoice,Rent Income,IC0000474,GL0000473,2024-01-31,2024-02-08,,,0,-20000.00
2292,ATT-LT000007,ZAGU,295-262-045-018,Invoice,Rent Income,IC0000494,GL0000493,2024-01-31,2024-02-08,,,0,-21000.00
2299,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Invoice,Rent Income,IC0000497,GL0000495,2024-01-31,2024-02-08,,,0,-22000.00
2332,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Invoice,Rent Income,IC0000508,GL0000505,2024-01-31,2024-02-08,,,0,-22000.00
2223,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Invoice,Rent Income,IC0000477,GL0000476,2024-01-31,2024-02-08,,,0,-25000.00
2246,ATT-LT000003,POTATO CORNER,474-783-214-010,Invoice,Rent Income,IC0000483,GL0000482,2024-01-31,2024-02-08,,,0,-25000.00
2275,ATT-LT000009,ALTURAS BREAD COTTAGE,968-829-031-000,Invoice,Rent Income,IC0000490,GL0000489,2024-01-31,2024-02-08,,,0,-27000.00
2190,ATT-LT000001,LEYLAM,009-331-123-081,Invoice,Rent Income,IC0000469,GL0000468,2024-01-31,2024-02-08,,,0,-40000.00
2152,ATT-LT000004,GOLDILOCKS,225-682-089-000,Invoice,Rent Income,IC0000460,GL0000459,2024-01-31,2024-02-08,,,0,-80000.00
6414,ATT-LT000008,MFI-MARCELA CHICKEN,004-283-221-012,Invoice,Rent Income,IC0001107,GL0001130,2024-02-29,2024-03-08,,,0,-18000.00
6271,ATT-LT000006,TURKS,211-157-680-000,Invoice,Rent Income,IC0001085,GL0001108,2024-02-29,2024-03-08,,,0,-20000.00
6296,ATT-LT000007,ZAGU,295-262-045-018,Invoice,Rent Income,IC0001090,GL0001113,2024-02-29,2024-03-08,,,0,-21000.00
6200,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Invoice,Rent Income,IC0001071,GL0001094,2024-02-29,2024-03-08,,,0,-22000.00
6336,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Invoice,Rent Income,IC0001095,GL0001118,2024-02-29,2024-03-08,,,0,-22000.00
6150,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Invoice,Rent Income,IC0001062,GL0001085,2024-02-29,2024-03-08,,,0,-25000.00
6370,ATT-LT000003,POTATO CORNER,474-783-214-010,Invoice,Rent Income,IC0001101,GL0001124,2024-02-29,2024-03-08,,,0,-25000.00
6063,ATT-LT000001,LEYLAM,009-331-123-081,Invoice,Rent Income,IC0001047,GL0001070,2024-02-29,2024-03-08,,,0,-40000.00
6043,ATT-LT000004,GOLDILOCKS,225-682-089-000,Invoice,Rent Income,IC0001042,GL0001065,2024-02-29,2024-03-08,,,0,-80000.00
11947,ATT-LT000008,MFI-MARCELA CHICKEN,004-283-221-012,Invoice,Rent Income,IC0001899,GL0001944,2024-03-31,2024-04-08,,,0,-18000.00
12146,ATT-LT000006,TURKS,211-157-680-000,Invoice,Rent Income,IC0001941,GL0001986,2024-03-31,2024-04-08,,,0,-20000.00
12024,ATT-LT000007,ZAGU,295-262-045-018,Invoice,Rent Income,IC0001915,GL0001960,2024-03-31,2024-04-08,,,0,-21000.00
12135,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Invoice,Rent Income,IC0001939,GL0001984,2024-03-31,2024-04-08,,,0,-22000.00
12858,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Invoice,Rent Income,IC0002071,GL0002117,2024-03-31,2024-04-08,,,0,-22000.00
12105,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Invoice,Rent Income,IC0001933,GL0001978,2024-03-31,2024-04-08,,,0,-25000.00
12061,ATT-LT000003,POTATO CORNER,474-783-214-010,Invoice,Rent Income,IC0001923,GL0001968,2024-03-31,2024-04-08,,,0,-25000.00
11852,ATT-LT000001,LEYLAM,009-331-123-081,Invoice,Rent Income,IC0001883,GL0001927,2024-03-31,2024-04-08,,,0,-40000.00
11892,ATT-LT000004,GOLDILOCKS,225-682-089-000,Invoice,Rent Income,IC0001888,GL0001933,2024-03-31,2024-04-08,,,0,-80000.00
20044,ATT-LT000008,MFI-MARCELA CHICKEN,004-283-221-012,Invoice,Rent Income,IC0003134,GL0003214,2024-04-30,2024-05-08,,,0,-18000.00
18916,ATT-LT000006,TURKS,211-157-680-000,Invoice,Rent Income,IC0002940,GL0003019,2024-04-30,2024-05-08,,,0,-20000.00
18941,ATT-LT000007,ZAGU,295-262-045-018,Invoice,Rent Income,IC0002944,GL0003023,2024-04-30,2024-05-08,,,0,-21000.00
18948,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Invoice,Rent Income,IC0002946,GL0003025,2024-04-30,2024-05-08,,,0,-22000.00
18926,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Invoice,Rent Income,IC0002942,GL0003021,2024-04-30,2024-05-08,,,0,-22000.00
18954,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Invoice,Rent Income,IC0002948,GL0003027,2024-04-30,2024-05-08,,,0,-25000.00
18980,ATT-LT000003,POTATO CORNER,474-783-214-010,Invoice,Rent Income,IC0002953,GL0003032,2024-04-30,2024-05-08,,,0,-25000.00
18908,ATT-LT000001,LEYLAM,009-331-123-081,Invoice,Rent Income,IC0002938,GL0003017,2024-04-30,2024-05-08,,,0,-40000.00
18893,ATT-LT000004,GOLDILOCKS,225-682-089-000,Invoice,Rent Income,IC0002935,GL0003014,2024-04-30,2024-05-08,,,0,-80000.00
24906,ATT-LT000008,MFI-MARCELA CHICKEN,004-283-221-012,Invoice,Rent Income,IC0003841,GL0003952,2024-05-31,2024-06-08,,,0,-18000.00
24611,ATT-LT000006,TURKS,211-157-680-000,Invoice,Rent Income,IC0003791,GL0003902,2024-05-31,2024-06-08,,,0,-20000.00
24604,ATT-LT000007,ZAGU,295-262-045-018,Invoice,Rent Income,IC0003789,GL0003900,2024-05-31,2024-06-08,,,0,-21000.00
24617,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Invoice,Rent Income,IC0003793,GL0003904,2024-05-31,2024-06-08,,,0,-22000.00
24623,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Invoice,Rent Income,IC0003795,GL0003906,2024-05-31,2024-06-08,,,0,-22000.00
24591,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Invoice,Rent Income,IC0003787,GL0003897,2024-05-31,2024-06-08,,,0,-25000.00
24630,ATT-LT000003,POTATO CORNER,474-783-214-010,Invoice,Rent Income,IC0003797,GL0003908,2024-05-31,2024-06-08,,,0,-25000.00
24583,ATT-LT000001,LEYLAM,009-331-123-081,Invoice,Rent Income,IC0003785,GL0003895,2024-05-31,2024-06-08,,,0,-40000.00
24576,ATT-LT000004,GOLDILOCKS,225-682-089-000,Invoice,Rent Income,IC0003783,GL0003893,2024-05-31,2024-06-08,,,0,-80000.00
30225,ATT-LT000008,MFI-MARCELA CHICKEN,004-283-221-012,Invoice,Rent Income,IC0004634,GL0004774,2024-06-30,2024-07-08,,,0,-18000.00
30116,ATT-LT000006,TURKS,211-157-680-000,Invoice,Rent Income,IC0004614,GL0004754,2024-06-30,2024-07-08,,,0,-20000.00
30099,ATT-LT000007,ZAGU,295-262-045-018,Invoice,Rent Income,IC0004610,GL0004750,2024-06-30,2024-07-08,,,0,-21000.00
30013,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Invoice,Rent Income,IC0004592,GL0004732,2024-06-30,2024-07-08,,,0,-22000.00
30162,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Invoice,Rent Income,IC0004623,GL0004763,2024-06-30,2024-07-08,,,0,-22000.00
30049,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Invoice,Rent Income,IC0004600,GL0004740,2024-06-30,2024-07-08,,,0,-25000.00
30180,ATT-LT000003,POTATO CORNER,474-783-214-010,Invoice,Rent Income,IC0004627,GL0004767,2024-06-30,2024-07-08,,,0,-25000.00
29903,ATT-LT000001,LEYLAM,009-331-123-081,Invoice,Rent Income,IC0004573,GL0004713,2024-06-30,2024-07-08,,,0,-40000.00
29925,ATT-LT000004,GOLDILOCKS,225-682-089-000,Invoice,Rent Income,IC0004578,GL0004718,2024-06-30,2024-07-08,,,0,-80000.00
36809,ATT-LT000043,RED RIBBON,005-370-051-007,Invoice,Rent Income,IC0005577,GL0005839,2024-07-31,2024-08-08,,,0,-4354.84
36757,ATT-LT000008,MFI-MARCELA CHICKEN,004-283-221-012,Invoice,Rent Income,IC0005567,GL0005830,2024-07-31,2024-08-08,,,0,-18000.00
36657,ATT-LT000006,TURKS,211-157-680-000,Invoice,Rent Income,IC0005545,GL0005808,2024-07-31,2024-08-08,,,0,-20000.00
36709,ATT-LT000007,ZAGU,295-262-045-018,Invoice,Rent Income,IC0005558,GL0005821,2024-07-31,2024-08-08,,,0,-21000.00
36670,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Invoice,Rent Income,IC0005548,GL0005811,2024-07-31,2024-08-08,,,0,-22000.00
36726,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Invoice,Rent Income,IC0005561,GL0005824,2024-07-31,2024-08-08,,,0,-22000.00
36635,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Invoice,Rent Income,IC0005541,GL0005804,2024-07-31,2024-08-08,,,0,-25000.00
36733,ATT-LT000003,POTATO CORNER,474-783-214-010,Invoice,Rent Income,IC0005563,GL0005826,2024-07-31,2024-08-08,,,0,-25000.00
36613,ATT-LT000001,LEYLAM,009-331-123-081,Invoice,Rent Income,IC0005537,GL0005800,2024-07-31,2024-08-08,,,0,-40000.00
36598,ATT-LT000004,GOLDILOCKS,225-682-089-000,Invoice,Rent Income,IC0005533,GL0005796,2024-07-31,2024-08-08,,,0,-80000.00
127449,ATT-LT000008,MFI-MARCELA CHICKEN,004-283-221-012,Invoice,Rent Income,IC0006294,GL0006601,2024-08-31,2024-09-08,,,0,-18000.00
127358,ATT-LT000006,TURKS,211-157-680-000,Invoice,Rent Income,IC0006275,GL0006582,2024-08-31,2024-09-08,,,0,-20000.00
127335,ATT-LT000007,ZAGU,295-262-045-018,Invoice,Rent Income,IC0006270,GL0006577,2024-08-31,2024-09-08,,,0,-21000.00
127318,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Invoice,Rent Income,IC0006266,GL0006573,2024-08-31,2024-09-08,,,0,-22000.00
127409,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Invoice,Rent Income,IC0006285,GL0006592,2024-08-31,2024-09-08,,,0,-22000.00
127296,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Invoice,Rent Income,IC0006261,GL0006568,2024-08-31,2024-09-08,,,0,-25000.00
127425,ATT-LT000003,POTATO CORNER,474-783-214-010,Invoice,Rent Income,IC0006289,GL0006595,2024-08-31,2024-09-08,,,0,-25000.00
127506,ATT-LT000043,RED RIBBON,005-370-051-007,Invoice,Rent Income,IC0006304,GL0006611,2024-08-31,2024-09-08,,,0,-27000.00
127268,ATT-LT000001,LEYLAM,009-331-123-081,Invoice,Rent Income,IC0006255,GL0006562,2024-08-31,2024-09-08,,,0,-40000.00
127251,ATT-LT000004,GOLDILOCKS,225-682-089-000,Invoice,Rent Income,IC0006252,GL0006559,2024-08-31,2024-09-08,,,0,-80000.00
134240,ATT-LT000008,MFI-MARCELA CHICKEN,004-283-221-012,Invoice,Rent Income,IC0007286,GL0007640,2024-09-30,2024-10-08,,,0,-18000.00
133857,ATT-LT000006,TURKS,211-157-680-000,Invoice,Rent Income,IC0007211,GL0007564,2024-09-30,2024-10-08,,,0,-20000.00
133884,ATT-LT000007,ZAGU,295-262-045-018,Invoice,Rent Income,IC0007216,GL0007570,2024-09-30,2024-10-08,,,0,-21000.00
133793,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Invoice,Rent Income,IC0007198,GL0007551,2024-09-30,2024-10-08,,,0,-22000.00
133911,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Invoice,Rent Income,IC0007222,GL0007576,2024-09-30,2024-10-08,,,0,-22000.00
133835,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Invoice,Rent Income,IC0007207,GL0007560,2024-09-30,2024-10-08,,,0,-25000.00
133937,ATT-LT000003,POTATO CORNER,474-783-214-010,Invoice,Rent Income,IC0007227,GL0007581,2024-09-30,2024-10-08,,,0,-25000.00
133966,ATT-LT000043,RED RIBBON,005-370-051-007,Invoice,Rent Income,IC0007231,GL0007585,2024-09-30,2024-10-08,,,0,-27000.00
133723,ATT-LT000001,LEYLAM,009-331-123-081,Invoice,Rent Income,IC0007186,GL0007539,2024-09-30,2024-10-08,,,0,-40000.00
133786,ATT-LT000004,GOLDILOCKS,225-682-089-000,Invoice,Rent Income,IC0007196,GL0007549,2024-09-30,2024-10-08,,,0,-80000.00
140590,ATT-LT000008,MFI-MARCELA CHICKEN,004-283-221-012,Invoice,Rent Income,IC0008151,GL0008563,2024-10-31,2024-11-08,,,0,-18000.00
140458,ATT-LT000006,TURKS,211-157-680-000,Invoice,Rent Income,IC0008125,GL0008537,2024-10-31,2024-11-08,,,0,-20000.00
140544,ATT-LT000007,ZAGU,295-262-045-018,Invoice,Rent Income,IC0008143,GL0008555,2024-10-31,2024-11-08,,,0,-21000.00
140531,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Invoice,Rent Income,IC0008139,GL0008551,2024-10-31,2024-11-08,,,0,-22000.00
140537,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Invoice,Rent Income,IC0008141,GL0008553,2024-10-31,2024-11-08,,,0,-22000.00
140439,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Invoice,Rent Income,IC0008121,GL0008533,2024-10-31,2024-11-08,,,0,-25000.00
140579,ATT-LT000003,POTATO CORNER,474-783-214-010,Invoice,Rent Income,IC0008149,GL0008561,2024-10-31,2024-11-08,,,0,-25000.00
140596,ATT-LT000043,RED RIBBON,005-370-051-007,Invoice,Rent Income,IC0008153,GL0008565,2024-10-31,2024-11-08,,,0,-27000.00
140375,ATT-LT000001,LEYLAM,009-331-123-081,Invoice,Rent Income,IC0008109,GL0008521,2024-10-31,2024-11-08,,,0,-40000.00
