ID,Tenant Code,Trade Name,Tin,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
2151,ATT-LT000004,GOLDILOCKS,005-236-240-122,Invoice,Rent Receivables,IC0000460,GL0000459,2024-01-31,2024-02-08,,,85600.00,0
2189,ATT-LT000001,LEYLAM,009-331-123-081,Invoice,Rent Receivables,IC0000469,GL0000468,2024-01-31,2024-02-08,,,42800.00,0
2274,ATT-LT000009,ALTURAS BREAD COTTAGE,968-829-031-000,Invoice,Rent Receivables,IC0000490,GL0000489,2024-01-31,2024-02-08,,,28890.00,0
2222,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Invoice,Rent Receivables,IC0000477,GL0000476,2024-01-31,2024-02-08,,,26750.00,0
2245,ATT-LT000003,POTATO CORNER,474-783-214-010,Invoice,Rent Receivables,IC0000483,GL0000482,2024-01-31,2024-02-08,,,26750.00,0
2298,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Invoice,Rent Receivables,IC0000497,GL0000495,2024-01-31,2024-02-08,,,23540.00,0
2331,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Invoice,Rent Receivables,IC0000508,GL0000505,2024-01-31,2024-02-08,,,23540.00,0
2291,ATT-LT000007,ZAGU,295-262-045-018,Invoice,Rent Receivables,IC0000494,GL0000493,2024-01-31,2024-02-08,,,22470.00,0
2212,ATT-LT000006,TURKS,211-157-680-000,Invoice,Rent Receivables,IC0000474,GL0000473,2024-01-31,2024-02-08,,,21400.00,0
2259,ATT-LT000008,MFI-MARCELA CHICKEN,004-283-221-012,Invoice,Rent Receivables,IC0000486,GL0000485,2024-01-31,2024-02-08,,,19260.00,0
3316,ATT-LT000001,LEYLAM,009-331-123-081,Payment,Rent Receivables,PS0000069,GL0000468,2024-02-06,,B-011,PNB - ATT,0,-42800.00
3298,ATT-LT000006,TURKS,211-157-680-000,Payment,Rent Receivables,PS0000064,GL0000473,2024-02-07,,B-011,PNB - ATT,0,-21400.00
3150,ATT-LT000004,GOLDILOCKS,005-236-240-122,Payment,Rent Receivables,PS0000047,GL0000459,2024-02-12,,B-011,PNB - ATT,0,-85600.00
3846,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Payment,Rent Receivables,PS0000095,GL0000495,2024-02-13,,B-011,PNB - ATT,0,-23540.00
4146,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Payment,Rent Receivables,PS0000115,GL0000476,2024-02-22,,B-011,PNB - ATT,0,-26750.00
5068,ATT-LT000007,ZAGU,295-262-045-018,Payment,Rent Receivables,PS0000182,GL0000493,2024-02-28,,B-011,PNB - ATT,0,-22470.00
6042,ATT-LT000004,GOLDILOCKS,005-236-240-122,Invoice,Rent Receivables,IC0001042,GL0001065,2024-02-29,2024-03-08,,,85600.00,0
6062,ATT-LT000001,LEYLAM,009-331-123-081,Invoice,Rent Receivables,IC0001047,GL0001070,2024-02-29,2024-03-08,,,42800.00,0
6149,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Invoice,Rent Receivables,IC0001062,GL0001085,2024-02-29,2024-03-08,,,26750.00,0
6369,ATT-LT000003,POTATO CORNER,474-783-214-010,Invoice,Rent Receivables,IC0001101,GL0001124,2024-02-29,2024-03-08,,,26750.00,0
6199,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Invoice,Rent Receivables,IC0001071,GL0001094,2024-02-29,2024-03-08,,,23540.00,0
6335,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Invoice,Rent Receivables,IC0001095,GL0001118,2024-02-29,2024-03-08,,,23540.00,0
6295,ATT-LT000007,ZAGU,295-262-045-018,Invoice,Rent Receivables,IC0001090,GL0001113,2024-02-29,2024-03-08,,,22470.00,0
6270,ATT-LT000006,TURKS,211-157-680-000,Invoice,Rent Receivables,IC0001085,GL0001108,2024-02-29,2024-03-08,,,21400.00,0
6413,ATT-LT000008,MFI-MARCELA CHICKEN,004-283-221-012,Invoice,Rent Receivables,IC0001107,GL0001130,2024-02-29,2024-03-08,,,19260.00,0
8624,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Payment,Rent Receivables,PS0000295,GL0001094,2024-03-06,,B-011,PNB - ATT,0,-23540.00
8607,ATT-LT000001,LEYLAM,009-331-123-081,Payment,Rent Receivables,PS0000293,GL0001070,2024-03-07,,B-011,PNB - ATT,0,-42800.00
8620,ATT-LT000006,TURKS,211-157-680-000,Payment,Rent Receivables,PS0000294,GL0001108,2024-03-11,,B-011,PNB - ATT,0,-21400.00
9277,ATT-LT000004,GOLDILOCKS,005-236-240-122,Payment,Rent Receivables,PS0000326,GL0001065,2024-03-14,,B-011,PNB - ATT,0,-85600.00
9987,ATT-LT000007,ZAGU,295-262-045-018,Payment,Rent Receivables,PS0000392,GL0001113,2024-03-15,,B-011,PNB - ATT,0,-22470.00
9722,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Payment,Rent Receivables,PS0000367,GL0001085,2024-03-18,,B-011,PNB - ATT,0,-26750.00
10587,ATT-LT000008,MFI-MARCELA CHICKEN,004-283-221-012,Payment,Rent Receivables,PS0000445,GL0001130,2024-03-26,,B-011,PNB - ATT,0,-19260.00
11891,ATT-LT000004,GOLDILOCKS,005-236-240-122,Invoice,Rent Receivables,IC0001888,GL0001933,2024-03-31,2024-04-08,,,85600.00,0
11851,ATT-LT000001,LEYLAM,009-331-123-081,Invoice,Rent Receivables,IC0001883,GL0001927,2024-03-31,2024-04-08,,,42800.00,0
12104,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Invoice,Rent Receivables,IC0001933,GL0001978,2024-03-31,2024-04-08,,,26750.00,0
12060,ATT-LT000003,POTATO CORNER,474-783-214-010,Invoice,Rent Receivables,IC0001923,GL0001968,2024-03-31,2024-04-08,,,26750.00,0
12134,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Invoice,Rent Receivables,IC0001939,GL0001984,2024-03-31,2024-04-08,,,23540.00,0
12857,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Invoice,Rent Receivables,IC0002071,GL0002117,2024-03-31,2024-04-08,,,23540.00,0
12023,ATT-LT000007,ZAGU,295-262-045-018,Invoice,Rent Receivables,IC0001915,GL0001960,2024-03-31,2024-04-08,,,22470.00,0
12145,ATT-LT000006,TURKS,211-157-680-000,Invoice,Rent Receivables,IC0001941,GL0001986,2024-03-31,2024-04-08,,,21400.00,0
11946,ATT-LT000008,MFI-MARCELA CHICKEN,004-283-221-012,Invoice,Rent Receivables,IC0001899,GL0001944,2024-03-31,2024-04-08,,,19260.00,0
15078,ATT-LT000006,TURKS,211-157-680-000,Payment,Rent Receivables,PS0000591,GL0001986,2024-04-05,,B-011,PNB - ATT,0,-21400.00
15074,ATT-LT000001,LEYLAM,009-331-123-081,Payment,Rent Receivables,PS0000590,GL0001927,2024-04-05,,B-011,PNB - ATT,0,-42800.00
15086,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Payment,Rent Receivables,PS0000592,GL0001984,2024-04-08,,B-011,PNB - ATT,0,-23540.00
14087,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Payment,Rent Receivables,PS0000544,GL0000505,2024-04-12,,B-011,PNB - ATT,0,-23540.00
14296,ATT-LT000004,GOLDILOCKS,005-236-240-122,Payment,Rent Receivables,PS0000564,GL0001933,2024-04-12,,B-011,PNB - ATT,0,-85600.00
15762,ATT-LT000007,ZAGU,295-262-045-018,Payment,Rent Receivables,PS0000669,GL0001960,2024-04-19,,B-011,PNB - ATT,0,-22470.00
15758,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Payment,Rent Receivables,PS0000668,GL0001118,2024-04-22,,B-011,PNB - ATT,0,-23540.00
15746,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Payment,Rent Receivables,PS0000663,GL0001978,2024-04-22,,B-011,PNB - ATT,0,-26750.00
18892,ATT-LT000004,GOLDILOCKS,005-236-240-122,Invoice,Rent Receivables,IC0002935,GL0003014,2024-04-30,2024-05-08,,,85600.00,0
18907,ATT-LT000001,LEYLAM,009-331-123-081,Invoice,Rent Receivables,IC0002938,GL0003017,2024-04-30,2024-05-08,,,42800.00,0
18953,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Invoice,Rent Receivables,IC0002948,GL0003027,2024-04-30,2024-05-08,,,26750.00,0
18979,ATT-LT000003,POTATO CORNER,474-783-214-010,Invoice,Rent Receivables,IC0002953,GL0003032,2024-04-30,2024-05-08,,,26750.00,0
18947,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Invoice,Rent Receivables,IC0002946,GL0003025,2024-04-30,2024-05-08,,,23540.00,0
18925,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Invoice,Rent Receivables,IC0002942,GL0003021,2024-04-30,2024-05-08,,,23540.00,0
18940,ATT-LT000007,ZAGU,295-262-045-018,Invoice,Rent Receivables,IC0002944,GL0003023,2024-04-30,2024-05-08,,,22470.00,0
18915,ATT-LT000006,TURKS,211-157-680-000,Invoice,Rent Receivables,IC0002940,GL0003019,2024-04-30,2024-05-08,,,21400.00,0
20043,ATT-LT000008,MFI-MARCELA CHICKEN,004-283-221-012,Invoice,Rent Receivables,IC0003134,GL0003214,2024-04-30,2024-05-08,,,19260.00,0
20784,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Payment,Rent Receivables,PS0000925,GL0003025,2024-05-08,,B-011,PNB - ATT,0,-23540.00
20776,ATT-LT000001,LEYLAM,009-331-123-081,Payment,Rent Receivables,PS0000923,GL0003017,2024-05-08,,B-011,PNB - ATT,0,-42800.00
20780,ATT-LT000006,TURKS,211-157-680-000,Payment,Rent Receivables,PS0000924,GL0003019,2024-05-09,,B-011,PNB - ATT,0,-21400.00
21023,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Payment,Rent Receivables,PS0000944,GL0003027,2024-05-09,,B-011,PNB - ATT,0,-26750.00
20772,ATT-LT000008,MFI-MARCELA CHICKEN,004-283-221-012,Payment,Rent Receivables,PS0000922,GL0001944,2024-05-15,,B-011,PNB - ATT,0,-19260.00
21019,ATT-LT000004,GOLDILOCKS,005-236-240-122,Payment,Rent Receivables,PS0000943,GL0003014,2024-05-15,,B-011,PNB - ATT,0,-85600.00
21469,ATT-LT000008,MFI-MARCELA CHICKEN,004-283-221-012,Payment,Rent Receivables,PS0001029,GL0003214,2024-05-22,,B-011,PNB - ATT,0,-19260.00
22524,ATT-LT000007,ZAGU,295-262-045-018,Payment,Rent Receivables,PS0001120,GL0003023,2024-05-23,,B-011,PNB - ATT,0,-22470.00
21606,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Payment,Rent Receivables,PS0001035,GL0002117,2024-05-23,,B-011,PNB - ATT,0,-23540.00
24575,ATT-LT000004,GOLDILOCKS,005-236-240-122,Invoice,Rent Receivables,IC0003783,GL0003893,2024-05-31,2024-06-08,,,85600.00,0
24582,ATT-LT000001,LEYLAM,009-331-123-081,Invoice,Rent Receivables,IC0003785,GL0003895,2024-05-31,2024-06-08,,,42800.00,0
24590,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Invoice,Rent Receivables,IC0003787,GL0003897,2024-05-31,2024-06-08,,,26750.00,0
24629,ATT-LT000003,POTATO CORNER,474-783-214-010,Invoice,Rent Receivables,IC0003797,GL0003908,2024-05-31,2024-06-08,,,26750.00,0
24616,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Invoice,Rent Receivables,IC0003793,GL0003904,2024-05-31,2024-06-08,,,23540.00,0
24622,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Invoice,Rent Receivables,IC0003795,GL0003906,2024-05-31,2024-06-08,,,23540.00,0
24603,ATT-LT000007,ZAGU,295-262-045-018,Invoice,Rent Receivables,IC0003789,GL0003900,2024-05-31,2024-06-08,,,22470.00,0
