ID,Tenant Code,Trade Name,Tin,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
2151,ATT-LT000004,GOLDILOCKS,005-236-240-122,Invoice,Rent Receivables,IC0000460,GL0000459,2024-01-31,2024-02-08,,,85600.00,0
2189,ATT-LT000001,LEYLAM,009-331-123-081,Invoice,Rent Receivables,IC0000469,GL0000468,2024-01-31,2024-02-08,,,42800.00,0
2274,ATT-LT000009,ALTURAS BREAD COTTAGE,968-829-031-000,Invoice,Rent Receivables,IC0000490,GL0000489,2024-01-31,2024-02-08,,,28890.00,0
2222,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Invoice,Rent Receivables,IC0000477,GL0000476,2024-01-31,2024-02-08,,,26750.00,0
2245,ATT-LT000003,POTATO CORNER,474-783-214-010,Invoice,Rent Receivables,IC0000483,GL0000482,2024-01-31,2024-02-08,,,26750.00,0
2298,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Invoice,Rent Receivables,IC0000497,GL0000495,2024-01-31,2024-02-08,,,23540.00,0
2331,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Invoice,Rent Receivables,IC0000508,GL0000505,2024-01-31,2024-02-08,,,23540.00,0
2291,ATT-LT000007,ZAGU,295-262-045-018,Invoice,Rent Receivables,IC0000494,GL0000493,2024-01-31,2024-02-08,,,22470.00,0
2212,ATT-LT000006,TURKS,211-157-680-000,Invoice,Rent Receivables,IC0000474,GL0000473,2024-01-31,2024-02-08,,,21400.00,0
2259,ATT-LT000008,MFI-MARCELA CHICKEN,004-283-221-012,Invoice,Rent Receivables,IC0000486,GL0000485,2024-01-31,2024-02-08,,,19260.00,0
2154,ATT-LT000004,GOLDILOCKS,005-236-240-122,Invoice,Creditable WHT Receivable,IC0000460,GL0000459,2024-01-31,2024-02-08,,,4000.00,0
2192,ATT-LT000001,LEYLAM,009-331-123-081,Invoice,Creditable WHT Receivable,IC0000469,GL0000468,2024-01-31,2024-02-08,,,2000.00,0
2277,ATT-LT000009,ALTURAS BREAD COTTAGE,968-829-031-000,Invoice,Creditable WHT Receivable,IC0000490,GL0000489,2024-01-31,2024-02-08,,,1350.00,0
2225,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Invoice,Creditable WHT Receivable,IC0000477,GL0000476,2024-01-31,2024-02-08,,,1250.00,0
2248,ATT-LT000003,POTATO CORNER,474-783-214-010,Invoice,Creditable WHT Receivable,IC0000483,GL0000482,2024-01-31,2024-02-08,,,1250.00,0
2301,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Invoice,Creditable WHT Receivable,IC0000497,GL0000495,2024-01-31,2024-02-08,,,1100.00,0
2334,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Invoice,Creditable WHT Receivable,IC0000508,GL0000505,2024-01-31,2024-02-08,,,1100.00,0
2294,ATT-LT000007,ZAGU,295-262-045-018,Invoice,Creditable WHT Receivable,IC0000494,GL0000493,2024-01-31,2024-02-08,,,1050.00,0
2215,ATT-LT000006,TURKS,211-157-680-000,Invoice,Creditable WHT Receivable,IC0000474,GL0000473,2024-01-31,2024-02-08,,,1000.00,0
2262,ATT-LT000008,MFI-MARCELA CHICKEN,004-283-221-012,Invoice,Creditable WHT Receivable,IC0000486,GL0000485,2024-01-31,2024-02-08,,,900.00,0
2168,ATT-LT000004,GOLDILOCKS,005-236-240-122,Invoice,Creditable WHT Receivable-Expanded,IC0000463,GL0000462,2024-01-31,2024-02-08,,,667.50,0
2201,ATT-LT000001,LEYLAM,009-331-123-081,Invoice,Creditable WHT Receivable-Expanded,IC0000471,GL0000470,2024-01-31,2024-02-08,,,164.89,0
2261,ATT-LT000008,MFI-MARCELA CHICKEN,004-283-221-012,Invoice,VAT Output,IC0000486,GL0000485,2024-01-31,2024-02-08,,,0,-2160.00
2214,ATT-LT000006,TURKS,211-157-680-000,Invoice,VAT Output,IC0000474,GL0000473,2024-01-31,2024-02-08,,,0,-2400.00
2293,ATT-LT000007,ZAGU,295-262-045-018,Invoice,VAT Output,IC0000494,GL0000493,2024-01-31,2024-02-08,,,0,-2520.00
2300,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Invoice,VAT Output,IC0000497,GL0000495,2024-01-31,2024-02-08,,,0,-2640.00
2333,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Invoice,VAT Output,IC0000508,GL0000505,2024-01-31,2024-02-08,,,0,-2640.00
2224,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Invoice,VAT Output,IC0000477,GL0000476,2024-01-31,2024-02-08,,,0,-3000.00
2247,ATT-LT000003,POTATO CORNER,474-783-214-010,Invoice,VAT Output,IC0000483,GL0000482,2024-01-31,2024-02-08,,,0,-3000.00
2276,ATT-LT000009,ALTURAS BREAD COTTAGE,968-829-031-000,Invoice,VAT Output,IC0000490,GL0000489,2024-01-31,2024-02-08,,,0,-3240.00
2191,ATT-LT000001,LEYLAM,009-331-123-081,Invoice,VAT Output,IC0000469,GL0000468,2024-01-31,2024-02-08,,,0,-4800.00
2153,ATT-LT000004,GOLDILOCKS,005-236-240-122,Invoice,VAT Output,IC0000460,GL0000459,2024-01-31,2024-02-08,,,0,-9600.00
3316,ATT-LT000001,LEYLAM,009-331-123-081,Payment,Rent Receivables,PS0000069,GL0000468,2024-02-06,,B-011,PNB - ATT,0,-42800.00
3298,ATT-LT000006,TURKS,211-157-680-000,Payment,Rent Receivables,PS0000064,GL0000473,2024-02-07,,B-011,PNB - ATT,0,-21400.00
3150,ATT-LT000004,GOLDILOCKS,005-236-240-122,Payment,Rent Receivables,PS0000047,GL0000459,2024-02-12,,B-011,PNB - ATT,0,-85600.00
3846,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Payment,Rent Receivables,PS0000095,GL0000495,2024-02-13,,B-011,PNB - ATT,0,-23540.00
4146,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Payment,Rent Receivables,PS0000115,GL0000476,2024-02-22,,B-011,PNB - ATT,0,-26750.00
5068,ATT-LT000007,ZAGU,295-262-045-018,Payment,Rent Receivables,PS0000182,GL0000493,2024-02-28,,B-011,PNB - ATT,0,-22470.00
6042,ATT-LT000004,GOLDILOCKS,005-236-240-122,Invoice,Rent Receivables,IC0001042,GL0001065,2024-02-29,2024-03-08,,,85600.00,0
6062,ATT-LT000001,LEYLAM,009-331-123-081,Invoice,Rent Receivables,IC0001047,GL0001070,2024-02-29,2024-03-08,,,42800.00,0
6149,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Invoice,Rent Receivables,IC0001062,GL0001085,2024-02-29,2024-03-08,,,26750.00,0
6369,ATT-LT000003,POTATO CORNER,474-783-214-010,Invoice,Rent Receivables,IC0001101,GL0001124,2024-02-29,2024-03-08,,,26750.00,0
6199,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Invoice,Rent Receivables,IC0001071,GL0001094,2024-02-29,2024-03-08,,,23540.00,0
6335,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Invoice,Rent Receivables,IC0001095,GL0001118,2024-02-29,2024-03-08,,,23540.00,0
6295,ATT-LT000007,ZAGU,295-262-045-018,Invoice,Rent Receivables,IC0001090,GL0001113,2024-02-29,2024-03-08,,,22470.00,0
6270,ATT-LT000006,TURKS,211-157-680-000,Invoice,Rent Receivables,IC0001085,GL0001108,2024-02-29,2024-03-08,,,21400.00,0
6413,ATT-LT000008,MFI-MARCELA CHICKEN,004-283-221-012,Invoice,Rent Receivables,IC0001107,GL0001130,2024-02-29,2024-03-08,,,19260.00,0
6045,ATT-LT000004,GOLDILOCKS,005-236-240-122,Invoice,Creditable WHT Receivable,IC0001042,GL0001065,2024-02-29,2024-03-08,,,4000.00,0
6065,ATT-LT000001,LEYLAM,009-331-123-081,Invoice,Creditable WHT Receivable,IC0001047,GL0001070,2024-02-29,2024-03-08,,,2000.00,0
6152,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Invoice,Creditable WHT Receivable,IC0001062,GL0001085,2024-02-29,2024-03-08,,,1250.00,0
6372,ATT-LT000003,POTATO CORNER,474-783-214-010,Invoice,Creditable WHT Receivable,IC0001101,GL0001124,2024-02-29,2024-03-08,,,1250.00,0
6202,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Invoice,Creditable WHT Receivable,IC0001071,GL0001094,2024-02-29,2024-03-08,,,1100.00,0
6338,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Invoice,Creditable WHT Receivable,IC0001095,GL0001118,2024-02-29,2024-03-08,,,1100.00,0
6298,ATT-LT000007,ZAGU,295-262-045-018,Invoice,Creditable WHT Receivable,IC0001090,GL0001113,2024-02-29,2024-03-08,,,1050.00,0
6273,ATT-LT000006,TURKS,211-157-680-000,Invoice,Creditable WHT Receivable,IC0001085,GL0001108,2024-02-29,2024-03-08,,,1000.00,0
6416,ATT-LT000008,MFI-MARCELA CHICKEN,004-283-221-012,Invoice,Creditable WHT Receivable,IC0001107,GL0001130,2024-02-29,2024-03-08,,,900.00,0
6061,ATT-LT000004,GOLDILOCKS,005-236-240-122,Invoice,Creditable WHT Receivable-Expanded,IC0001046,GL0001069,2024-02-29,2024-03-08,,,664.28,0
6081,ATT-LT000001,LEYLAM,009-331-123-081,Invoice,Creditable WHT Receivable-Expanded,IC0001051,GL0001074,2024-02-29,2024-03-08,,,154.71,0
6415,ATT-LT000008,MFI-MARCELA CHICKEN,004-283-221-012,Invoice,VAT Output,IC0001107,GL0001130,2024-02-29,2024-03-08,,,0,-2160.00
6272,ATT-LT000006,TURKS,211-157-680-000,Invoice,VAT Output,IC0001085,GL0001108,2024-02-29,2024-03-08,,,0,-2400.00
6297,ATT-LT000007,ZAGU,295-262-045-018,Invoice,VAT Output,IC0001090,GL0001113,2024-02-29,2024-03-08,,,0,-2520.00
6201,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Invoice,VAT Output,IC0001071,GL0001094,2024-02-29,2024-03-08,,,0,-2640.00
6337,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Invoice,VAT Output,IC0001095,GL0001118,2024-02-29,2024-03-08,,,0,-2640.00
6151,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Invoice,VAT Output,IC0001062,GL0001085,2024-02-29,2024-03-08,,,0,-3000.00
6371,ATT-LT000003,POTATO CORNER,474-783-214-010,Invoice,VAT Output,IC0001101,GL0001124,2024-02-29,2024-03-08,,,0,-3000.00
6064,ATT-LT000001,LEYLAM,009-331-123-081,Invoice,VAT Output,IC0001047,GL0001070,2024-02-29,2024-03-08,,,0,-4800.00
6044,ATT-LT000004,GOLDILOCKS,005-236-240-122,Invoice,VAT Output,IC0001042,GL0001065,2024-02-29,2024-03-08,,,0,-9600.00
8624,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Payment,Rent Receivables,PS0000295,GL0001094,2024-03-06,,B-011,PNB - ATT,0,-23540.00
8607,ATT-LT000001,LEYLAM,009-331-123-081,Payment,Rent Receivables,PS0000293,GL0001070,2024-03-07,,B-011,PNB - ATT,0,-42800.00
8620,ATT-LT000006,TURKS,211-157-680-000,Payment,Rent Receivables,PS0000294,GL0001108,2024-03-11,,B-011,PNB - ATT,0,-21400.00
9277,ATT-LT000004,GOLDILOCKS,005-236-240-122,Payment,Rent Receivables,PS0000326,GL0001065,2024-03-14,,B-011,PNB - ATT,0,-85600.00
9987,ATT-LT000007,ZAGU,295-262-045-018,Payment,Rent Receivables,PS0000392,GL0001113,2024-03-15,,B-011,PNB - ATT,0,-22470.00
9722,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Payment,Rent Receivables,PS0000367,GL0001085,2024-03-18,,B-011,PNB - ATT,0,-26750.00
10587,ATT-LT000008,MFI-MARCELA CHICKEN,004-283-221-012,Payment,Rent Receivables,PS0000445,GL0001130,2024-03-26,,B-011,PNB - ATT,0,-19260.00
