ID,Tenant Code,Trade Name,Tin,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
2278,ATT-LT000009,ALTURAS BREAD COTTAGE,968-829-031-000,Invoice,A/R  Non Trade External,IC0000491,GL0000490,2024-01-31,2024-02-08,,,52412.00,0
2166,ATT-LT000004,GOLDILOCKS,225-682-089-000,Invoice,A/R  Non Trade External,IC0000463,GL0000462,2024-01-31,2024-02-08,,,18356.25,0
2263,ATT-LT000008,MFI-MARCELA CHICKEN,004-283-221-012,Invoice,A/R  Non Trade External,IC0000487,GL0000486,2024-01-31,2024-02-08,,,10096.00,0
2198,ATT-LT000001,LEYLAM,009-331-123-081,Invoice,A/R  Non Trade External,IC0000471,GL0000470,2024-01-31,2024-02-08,,,9069.11,0
2249,ATT-LT000003,POTATO CORNER,474-783-214-010,Invoice,A/R  Non Trade External,IC0000484,GL0000483,2024-01-31,2024-02-08,,,7591.00,0
2226,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Invoice,A/R  Non Trade External,IC0000478,GL0000477,2024-01-31,2024-02-08,,,5150.00,0
2216,ATT-LT000006,TURKS,211-157-680-000,Invoice,A/R  Non Trade External,IC0000475,GL0000474,2024-01-31,2024-02-08,,,4110.00,0
2295,ATT-LT000007,ZAGU,295-262-045-018,Invoice,A/R  Non Trade External,IC0000495,GL0000494,2024-01-31,2024-02-08,,,2315.00,0
2339,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Invoice,A/R  Non Trade External,IC0000510,GL0000507,2024-01-31,2024-02-08,,,1219.00,0
2305,ATT-LT000029,SAVE N EARN WIRELESS,005-886-978-069,Invoice,A/R  Non Trade External,IC0000499,GL0000497,2024-01-31,2024-02-08,,,150.00,0
2251,ATT-LT000003,POTATO CORNER,474-783-214-010,Invoice,MI-Water,IC0000484,GL0000483,2024-01-31,2024-02-08,,,0,-16.00
2341,ATT-LT000005,Thirsty Fruit Juices and Drinks,121-512-132-000,Invoice,MI-Water,IC0000510,GL0000507,2024-01-31,2024-02-08,,,0,-64.00
2228,ATT-LT000002,MASTER SIOMAI,116-506-244-000,Invoice,MI-Water,IC0000478,GL0000477,2024-01-31,2024-02-08,,,0,-80.00
