ID,Tenant Code,Trade Name,Tin,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
45705,ICM-LT000026,ORO CHINA,,Payment,Security Deposit Payable,OR#0051,GL0007627,2004-03-26,0000-00-00,B-007,LBP,0,-130320.00
44959,ICM-LT000019,BENCH,,Payment,Security Deposit Payable,OR#0003,GL0007422,2004-04-27,0000-00-00,B-012,BPI,0,-171468.00
45673,ICM-LT000110,MENDREZ,,Payment,Security Deposit Payable,OR#0004,GL0007611,2004-04-27,0000-00-00,B-007,LBP,0,-294336.00
45579,ICM-LT000074,THINKING TOOLS,,Payment,Security Deposit Payable,OR#0005,GL0007565,2004-04-30,0000-00-00,B-007,LBP,0,-210924.00
45651,ICM-LT000056,THE BUZZ CAFE,,Payment,Security Deposit Payable,OR#0006,GL0007600,2004-05-03,0000-00-00,B-007,LBP,0,-165000.00
45695,ICM-LT000030,WATCH CENTRAL,,Payment,Security Deposit Payable,OR#0007,GL0007622,2004-05-04,0000-00-00,B-007,LBP,0,-148092.00
46394,ICM-LT000063,SAVE N EARN,,Payment,Security Deposit Payable,OR#0009,GL0007915,2004-05-07,0000-00-00,B-007,LBP,0,-131274.00
44885,ICM-LT000009,GOLDILOCKS,,Payment,Security Deposit Payable,OR#0019,GL0007385,2004-06-23,0000-00-00,B-007,LBP,0,-140040.00
44977,ICM-LT000085,ISLAND SOUVENIRS,,Payment,Security Deposit Payable,OR#0023,GL0007430,2004-06-30,0000-00-00,B-007,LBP,0,-150270.00
44905,ICM-LT000016,GIBI,,Payment,Security Deposit Payable,OR#0022,GL0007395,2004-06-30,0000-00-00,B-007,LBP,0,-278256.00
45601,ICM-LT000033,DAVIDS SALON,,Payment,Security Deposit Payable,OR#0025,GL0007575,2004-07-02,0000-00-00,B-007,LBP,0,-171168.00
45895,ICM-LT000148,GLOBE ANTENNA,,Payment,Security Deposit Payable,OR#0029,GL0007717,2004-07-15,0000-00-00,B-007,LBP,0,-45000.00
45633,ICM-LT000080,PAYAG,,Payment,Security Deposit Payable,OR#0016,GL0007591,2004-07-19,0000-00-00,B-007,LBP,0,-160656.00
44985,ICM-LT000006,KFC,,Payment,Security Deposit Payable,OR#0033,GL0007434,2004-07-28,0000-00-00,B-007,LBP,0,-481464.00
45679,ICM-LT000058,RUSTY LOPEZ,,Payment,Security Deposit Payable,OR#0037,GL0007614,2004-07-29,0000-00-00,B-007,LBP,0,-213372.00
44925,ICM-LT000005,BOS COFFEE,,Payment,Security Deposit Payable,OR#0044,GL0007405,2004-08-07,0000-00-00,B-007,LBP,0,-102510.00
44779,ICM-LT000139,AHONGS NGOHIONG AND FRIED CHICKEN,,Payment,Security Deposit Payable,AR#0052,GL0007338,2004-08-16,0000-00-00,B-007,LBP,0,-30000.00
45801,ICM-LT000130,NATIONAL BOOKSTORE,,Payment,Security Deposit Payable,OR#0053,GL0007674,2004-08-20,0000-00-00,B-007,LBP,0,-771525.00
45751,ICM-LT000057,UNISILVER,,Payment,Security Deposit Payable,OR#0059,GL0007649,2004-08-25,0000-00-00,B-007,LBP,0,-54000.00
45017,ICM-LT000036,PT TELCO DISTRIBUTIONS INC.,,Payment,Security Deposit Payable,OR#0089,GL0007450,2004-09-20,0000-00-00,B-007,LBP,0,-36000.00
45089,ICM-LT000052,BINGO,,Payment,Security Deposit Payable,OR#0182,GL0007485,2004-10-19,0000-00-00,B-007,LBP,0,-67008.00
45975,ICM-LT000112,THIRSTY - UG,,Payment,Security Deposit Payable,OR#0195,GL0007757,2004-11-05,0000-00-00,B-007,LBP,0,-45000.00
45863,ICM-LT000044,LBC,,Payment,Security Deposit Payable,OR#1021,GL0007701,2004-11-09,0000-00-00,B-007,LBP,0,-180000.00
46237,ICM-LT000171,SMART ANTENNA - Rent,,Payment,Security Deposit Payable,OR#0127,GL0007879,2004-11-11,0000-00-00,B-007,LBP,0,-45000.00
44873,ICM-LT000051,HEALTH SHOP,,Payment,Security Deposit Payable,OR#0312,GL0007379,2004-11-24,0000-00-00,B-007,LBP,0,-54000.00
46424,ICM-LT000010,PENSHOPPE,,Payment,Security Deposit Payable,OR#0140,GL0007927,2004-12-01,0000-00-00,B-012,BPI,0,-178311.00
