ID,Tenant Code,Trade Name,Tin,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
43586,ICM-LT000081,MAEXEL DELICACIES,222-900-471-000,Payment,Construction Bond,AR# 163019,GL0007152,2016-09-16,0000-00-00,LANDBANK,B-007,0,-30000.00
203087,ICM-LT000040,MOLE CELLPHONE SHOP,935-624-966-000,Payment,Construction Bond,PR163047,GL0032479,2017-04-06,0000-00-00,B-007,Land Bank of the Philippines,0,-20000.00
203093,ICM-LT000039,CELLPOINT,288-445-204-002,Payment,Construction Bond,PR205202,GL0032481,2017-04-08,0000-00-00,B-007,Land Bank of the Philippines,0,-20000.00
13506,ICM-LT000032,CHIKITINGS PLAYHOUSE,499-340-420-000,Payment,Construction Bond,PR205206,GL0002166,2017-04-17,0000-00-00,B-007,Land Bank of the Philippines,0,-36670.00
29841,ICM-LT000019,BENCH,000-844-246-000,Payment,Construction Bond,AR205235,GL0004915,2017-09-12,0000-00-00,B-012,Banks of the Philippine Islands,0,-87432.10
85968,ICM-LT000025,REGATTA,000-068-427-698,Payment,Construction Bond,AR#250005,GL0014092,2017-11-18,0000-00-00,B-012,Banks of the Philippine Islands,0,-32400.00
86111,ICM-LT000007,FOR ME,000-068-427-460,Payment,Construction Bond,LSAR#250003,GL0014119,2017-11-18,0000-00-00,B-012,Banks of the Philippine Islands,0,-63360.00
85859,ICM-LT000010,PENSHOPPE,000-068-427-190,Payment,Construction Bond,AR#250004,GL0014083,2017-11-18,0000-00-00,B-012,Banks of the Philippine Islands,0,-92175.00
8394,ICM-LT000162,CIGNAL TV INC,005-886-978-046,Payment,Construction Bond,PRLSAR-250019,GL0001366,2018-02-06,0000-00-00,B-007,Land Bank of the Philippines,0,-90000.00
11259,ICM-LT000175,SULINCAFE 21 MILK TEA SHOP,041-017-301-000,Payment,Construction Bond,PRLSAR-260909,GL0001857,2018-05-09,0000-00-00,B-007,Land Bank of the Philippines,0,-88506.00
7251,ICM-LT000146,BPI - BRANCH,000-438-366-801,Payment,Construction Bond-Preop Clearing,UFT0000150,GL0001114,2018-05-10,0000-00-00,B-012,Banks of the Philippine Islands,0,-69386.57
8095,ICM-LT000030,WATCH CENTRAL,229-966-214-003,Payment,Construction Bond-Preop Clearing,UFT0000153,GL0001301,2018-05-16,0000-00-00,B-012,Banks of the Philippine Islands,0,-23113.22
10803,ICM-LT000049,WRENLEYS MOTOR PLAZA,004-489-267-008,Payment,Construction Bond,PRLSAR-260913,GL0001751,2018-06-20,0000-00-00,B-007,Land Bank of the Philippines,0,-32977.29
13579,ICM-LT000032,CHIKITINGS PLAYHOUSE,499-340-420-000,Payment,Construction Bond,P0000798,GL0002166,2018-06-30,0000-00-00,,,36670.00,0
15393,ICM-LT000006,KFC,008-174-699-015,Payment,Construction Bond-Preop Clearing,UFT0000265,GL0002528,2018-07-16,0000-00-00,B-012,Banks of the Philippine Islands,0,-77221.48
19976,ICM-LT000253,MAXS RESTAURANT,,Payment,Construction Bond,PRLSOR-034035,GL0003277,2018-07-27,0000-00-00,B-007,Land Bank of the Philippines,0,-209480.00
21003,ICM-LT000078,JOJIES PA-INITANG BOL-ANON,118-675-290-012,Payment,Construction Bond,PRLSAR-,GL0003399,2018-08-03,0000-00-00,B-007,Land Bank of the Philippines,0,-30000.00
51015,ICM-LT000226,ACER CONCEPT STORE,118-864-295-000,Payment,Construction Bond-Preop Clearing,UFT0000824,GL0008668,2018-08-07,0000-00-00,B-012,Banks of the Philippine Islands,0,-36675.00
29934,ICM-LT000019,BENCH,000-844-246-000,Payment,Construction Bond,P0001733,GL0004915,2018-10-31,0000-00-00,,,87432.10,0
35244,ICM-LT000275,OXYGEN,,Payment,Construction Bond-Preop Clearing,UFT0000563,GL0005716,2018-11-23,0000-00-00,B-012,Banks of the Philippine Islands,0,-72234.00
40590,ICM-LT000276,SKIN STATION,007-161-555-067,Payment,Construction Bond-Preop Clearing,UFT0000650,GL0006527,2018-12-28,0000-00-00,B-012,Banks of the Philippine Islands,0,-150678.00
43587,ICM-LT000081,MAEXEL DELICACIES,222-900-471-000,Payment,Construction Bond,P0002601,GL0007152,2018-12-31,0000-00-00,,,30000.00,0
53209,ICM-LT000227,GONG CHA,,Payment,Construction Bond-Preop Clearing,UFT0000859,GL0008879,2019-03-05,0000-00-00,B-012,Banks of the Philippine Islands,0,-72615.00
76536,ICM-LT000451,CREPETEALOGY CAFE,271-575-821-000,Payment,Construction Bond,PR037359,GL0012498,2019-07-25,0000-00-00,B-007,Land Bank of the Philippines,0,-60000.00
80579,ICM-LT000451,CREPETEALOGY CAFE,271-575-821-000,Payment,Construction Bond,PR302558,GL0013226,2019-08-14,0000-00-00,B-007,Land Bank of the Philippines,0,-10000.00
85868,ICM-LT000010,PENSHOPPE,000-068-427-190,Payment,Construction Bond,P0005269,GL0014083,2019-08-31,0000-00-00,,,92175.00,0
