ID,Tenant Code,Trade Name,Tin,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
338,ICM-ST000017,HYUNDAI -TAGBILARAN,215-587-935-000,Invoice,Rent Receivables,IC0000073,GL0000073,2024-01-15,2024-01-23,,,34516.12,0
2431,ICM-LT002606,Dairy Queen- SR,200-741-954-000,Invoice,Rent Receivables,IC0000530,GL0000526,2024-01-30,2024-02-10,,,5384.52,0
15012,ICM-ST000052,TOYOTA CEBU CITY INC.,000-313-856-004,Payment,Rent Receivables-RR Clearing,UFT0000260,GL0000101,2024-01-30,,B-007,Banks of the Philippine Islands,0,-44870.97
3319,ICM-LT000015,JOLLIBEE,004-917-250-001,Invoice,Rent Receivables,IC0000630,GL0000640,2024-01-31,2024-02-15,,,592851.52,0
2762,ICM-LT000008,WATSONS,230-393-680-000,Invoice,Rent Receivables,IC0000584,GL0000578,2024-01-31,2024-02-15,,,514773.18,0
2743,ICM-LT000017,MANG INASAL,009-657-620-000,Invoice,Rent Receivables,IC0000580,GL0000574,2024-01-31,2024-02-15,,,482642.84,0
4202,ICM-LT000010,"GOLDEN ABC, INC (PENSHOPPE)",000-068-427-190,Invoice,Rent Receivables,IC0000763,GL0000781,2024-01-31,2024-02-15,,,366113.66,0
1742,ICM-LT000130,NATIONAL BOOKSTORE,000-299-299-000,Invoice,Rent Receivables,IC0000373,GL0000373,2024-01-31,2024-02-10,,,302464.43,0
507,ICM-LT000122,ABENSON,006-121-117-000,Invoice,Rent Receivables,IC0000113,GL0000113,2024-01-31,2024-02-10,,,292838.32,0
4590,ICM-LT000014,CHOWKING,004-917-250-002,Invoice,Rent Receivables,IC0000803,GL0000820,2024-01-31,2024-02-15,,,274678.04,0
2866,ICM-LT000012,GREENWICH,005-370-051-001,Invoice,Rent Receivables,IC0000596,GL0000597,2024-01-31,2024-02-15,,,235702.20,0
3072,ICM-LT000129,THE PRAWN FARM,004-283-221-003,Invoice,Rent Receivables,IC0000614,GL0000619,2024-01-31,2024-02-15,,,214000.00,0
3853,ICM-LT000006,KFC,008-174-699-015,Invoice,Rent Receivables,IC0000717,GL0000732,2024-01-31,2024-02-15,,,190833.71,0
1804,ICM-LT000056,THE BUZZ CAFE,275-290-239-001,Invoice,Rent Receivables,IC0000385,GL0000385,2024-01-31,2024-02-10,,,159052.73,0
3364,ICM-LT001883,Shakeys Pizza,260-171-052-000,Invoice,Rent Receivables,IC0000636,GL0000646,2024-01-31,2024-02-15,,,157537.70,0
383,ICM-ST000015,NISSAN CEBU DISTRIBUTORS INC.,022-329-844-000,Invoice,Rent Receivables,IC0000084,GL0000084,2024-01-31,2024-02-10,,,150145.14,0
1838,ICM-LT000074,THINKING TOOLS,000-312-081-006,Invoice,Rent Receivables,IC0000391,GL0000391,2024-01-31,2024-02-10,,,149282.62,0
2893,ICM-LT000019,BENCH,000-844-246-000,Invoice,Rent Receivables,IC0000600,GL0000601,2024-01-31,2024-02-15,,,118859.05,0
2910,ICM-LT000253,MAXS RESTAURANT,009-758-579-000,Invoice,Rent Receivables,IC0000603,GL0000604,2024-01-31,2024-02-15,,,117675.39,0
2773,ICM-LT001589,Alberto Shoes,100-055-671-000,Invoice,Rent Receivables,IC0000586,GL0000580,2024-01-31,2024-02-15,,,116752.82,0
136852,ICM-LT000171,SMART ANTENNA - Rent,001-901-673-000,Invoice,Rent Receivables,IC0007585,GL0007970,2024-01-31,2024-02-10,,,116077.81,0
4070,ICM-LT000055,PNB - BRANCH,000-188-209-420,Invoice,Rent Receivables,IC0000742,GL0000758,2024-01-31,2024-02-15,,,115055.06,0
3132,ICM-LT000073,FRANKIES CAFE,297-327-511-000,Invoice,Rent Receivables,IC0000620,GL0000625,2024-01-31,2024-02-15,,,110481.06,0
2580,ICM-LT001667,Bigbys,185-634-642-000,Invoice,Rent Receivables,IC0000551,GL0000547,2024-01-31,2024-02-15,,,109195.38,0
2922,ICM-LT000021,SPORTS BASIC,170-151-494-000,Invoice,Rent Receivables,IC0000605,GL0000606,2024-01-31,2024-02-15,,,107871.18,0
