ID,Tenant Code,Trade Name,Tin,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
338,ICM-ST000017,HYUNDAI -TAGBILARAN,215-587-935-000,Invoice,Rent Receivables,IC0000073,GL0000073,2024-01-15,2024-01-23,,,34516.12,0
341,ICM-ST000017,HYUNDAI -TAGBILARAN,215-587-935-000,Invoice,Creditable WHT Receivable,IC0000073,GL0000073,2024-01-15,2024-01-23,,,1612.90,0
340,ICM-ST000017,HYUNDAI -TAGBILARAN,215-587-935-000,Invoice,VAT Output,IC0000073,GL0000073,2024-01-15,2024-01-23,,,0,-3870.96
339,ICM-ST000017,HYUNDAI -TAGBILARAN,215-587-935-000,Invoice,Rent Income,IC0000073,GL0000073,2024-01-15,2024-01-23,,,0,-32258.06
2431,ICM-LT002606,Dairy Queen- SR,200-741-954-000,Invoice,Rent Receivables,IC0000530,GL0000526,2024-01-30,2024-02-10,,,5384.52,0
2434,ICM-LT002606,Dairy Queen- SR,200-741-954-000,Invoice,Creditable WHT Receivable,IC0000530,GL0000526,2024-01-30,2024-02-10,,,251.61,0
2433,ICM-LT002606,Dairy Queen- SR,200-741-954-000,Invoice,VAT Output,IC0000530,GL0000526,2024-01-30,2024-02-10,,,0,-603.87
2432,ICM-LT002606,Dairy Queen- SR,200-741-954-000,Invoice,Rent Income,IC0000530,GL0000526,2024-01-30,2024-02-10,,,0,-5032.26
15012,ICM-ST000052,TOYOTA CEBU CITY INC.,000-313-856-004,Payment,Rent Receivables-RR Clearing,UFT0000260,GL0000101,2024-01-30,,B-007,Banks of the Philippine Islands,0,-89741.94
3319,ICM-LT000015,JOLLIBEE,004-917-250-001,Invoice,Rent Receivables,IC0000630,GL0000640,2024-01-31,2024-02-15,,,1185703.04,0
1742,ICM-LT000130,NATIONAL BOOKSTORE,000-299-299-000,Invoice,Rent Receivables,IC0000373,GL0000373,2024-01-31,2024-02-10,,,604928.86,0
507,ICM-LT000122,ABENSON,006-121-117-000,Invoice,Rent Receivables,IC0000113,GL0000113,2024-01-31,2024-02-10,,,585676.64,0
4590,ICM-LT000014,CHOWKING,004-917-250-002,Invoice,Rent Receivables,IC0000803,GL0000820,2024-01-31,2024-02-15,,,549356.08,0
2743,ICM-LT000017,MANG INASAL,009-657-620-000,Invoice,Rent Receivables,IC0000580,GL0000574,2024-01-31,2024-02-15,,,482642.84,0
3853,ICM-LT000006,KFC,008-174-699-015,Invoice,Rent Receivables,IC0000717,GL0000732,2024-01-31,2024-02-15,,,381667.42,0
4202,ICM-LT000010,"GOLDEN ABC, INC (PENSHOPPE)",000-068-427-190,Invoice,Rent Receivables,IC0000763,GL0000781,2024-01-31,2024-02-15,,,366113.66,0
1804,ICM-LT000056,THE BUZZ CAFE,275-290-239-001,Invoice,Rent Receivables,IC0000385,GL0000385,2024-01-31,2024-02-10,,,318105.46,0
2762,ICM-LT000008,WATSONS,214-706-591-000,Invoice,Rent Receivables,IC0000584,GL0000578,2024-01-31,2024-02-15,,,257386.59,0
2893,ICM-LT000019,BENCH,000-844-246-000,Invoice,Rent Receivables,IC0000600,GL0000601,2024-01-31,2024-02-15,,,237718.10,0
2866,ICM-LT000012,GREENWICH,005-370-051-001,Invoice,Rent Receivables,IC0000596,GL0000597,2024-01-31,2024-02-15,,,235702.20,0
136852,ICM-LT000171,SMART ANTENNA - Rent,001-901-673-000,Invoice,Rent Receivables,IC0007585,GL0007970,2024-01-31,2024-02-10,,,232155.62,0
3072,ICM-LT000129,THE PRAWN FARM,004-283-221-003,Invoice,Rent Receivables,IC0000614,GL0000619,2024-01-31,2024-02-15,,,214000.00,0
2783,ICM-LT000022,CLN,000-337-941-213,Invoice,Rent Receivables,IC0000588,GL0000582,2024-01-31,2024-02-15,,,206395.52,0
3770,ICM-LT000146,BPI - BRANCH,000-438-366-801,Invoice,Rent Receivables,IC0000708,GL0000720,2024-01-31,2024-02-10,,,188652.48,0
3803,ICM-LT000004,RAI RAI KEN,271-732-682-039,Invoice,Rent Receivables,IC0000714,GL0000726,2024-01-31,2024-02-15,,,183812.48,0
1049,ICM-LT000071,JEMS BARBER SHOP,189-496-737-002,Invoice,Rent Receivables,IC0000228,GL0000228,2024-01-31,2024-02-10,,,166905.52,0
3019,ICM-LT000005,BOS COFFEE,986-785-452-000,Invoice,Rent Receivables,IC0000607,GL0000612,2024-01-31,2024-02-15,,,165396.54,0
3364,ICM-LT001883,Shakeys Pizza,260-171-052-000,Invoice,Rent Receivables,IC0000636,GL0000646,2024-01-31,2024-02-15,,,157537.70,0
1838,ICM-LT000074,THINKING TOOLS,000-312-081-006,Invoice,Rent Receivables,IC0000391,GL0000391,2024-01-31,2024-02-10,,,149282.62,0
1781,ICM-LT000028,J.CO DONUTS AND COFFEE,008-043-737-000,Invoice,Rent Receivables,IC0000381,GL0000381,2024-01-31,2024-02-10,,,144679.12,0
725,ICM-LT000033,DAVIDS SALON,005-887-090-000,Invoice,Rent Receivables,IC0000160,GL0000160,2024-01-31,2024-02-10,,,144488.52,0
2551,ICM-LT000016,"GB SPECIALTY STORES, INC.",007-209-323-010,Invoice,Rent Receivables,IC0000546,GL0000542,2024-01-31,2024-02-10,,,139329.56,0
15428,ICM-LT000148,GLOBE ANTENNA,000-768-480-000,Invoice,Rent Receivables,IC0002401,GL0002465,2024-01-31,2024-02-10,,,139100.00,0
653,ICM-LT000001,COLOURS DIGITAL FOTO,103-785-485-000,Invoice,Rent Receivables,IC0000145,GL0000145,2024-01-31,2024-02-10,,,134361.62,0
1760,ICM-LT000044,LBC EXPRESS INC.,000-782-140-000,Invoice,Rent Receivables,IC0000377,GL0000377,2024-01-31,2024-02-10,,,132260.76,0
955,ICM-LT000109,IDEAL VISION,004-724-825-003,Invoice,Rent Receivables,IC0000209,GL0000209,2024-01-31,2024-02-10,,,129297.78,0
3261,ICM-LT000043,PET CENTRAL ANIMAL CLINIC AND PET SHOP,225-808-796-000,Invoice,Rent Receivables,IC0000625,GL0000634,2024-01-31,2024-02-10,,,128400.00,0
758,ICM-LT000023,"CHOCO HILL FOOD CHAIN, INC.",005-886-781-003,Invoice,Rent Receivables,IC0000167,GL0000167,2024-01-31,2024-02-10,,,124225.88,0
2533,ICM-LT000023,"CHOCO HILL FOOD CHAIN, INC.",005-886-781-003,Invoice,Rent Receivables,IC0000544,GL0000540,2024-01-31,2024-02-10,,,124225.88,0
375,ICM-ST000055,MITSUBISHI MOTORS,000-067-151-005,Invoice,Rent Receivables,IC0000082,GL0000082,2024-01-31,2024-02-10,,,120116.12,0
2910,ICM-LT000253,MAXS RESTAURANT,009-758-579-000,Invoice,Rent Receivables,IC0000603,GL0000604,2024-01-31,2024-02-15,,,117675.39,0
2773,ICM-LT001589,Alberto Shoes,100-055-671-000,Invoice,Rent Receivables,IC0000586,GL0000580,2024-01-31,2024-02-15,,,116752.82,0
2548,ICM-LT000023,"CHOCO HILL FOOD CHAIN, INC.",005-886-781-003,Invoice Adjustment,Rent Income,IC0000167,GL0000167,2024-01-31,2024-02-10,,,116098.94,0
4070,ICM-LT000055,PNB - BRANCH,000-188-209-420,Invoice,Rent Receivables,IC0000742,GL0000758,2024-01-31,2024-02-15,,,115055.06,0
1676,ICM-LT000063,SAVE N EARN,610-134-630-449,Invoice,Rent Receivables,IC0000360,GL0000360,2024-01-31,2024-02-10,,,111307.16,0
3132,ICM-LT000073,FRANKIES CAFE,297-327-511-000,Invoice,Rent Receivables,IC0000620,GL0000625,2024-01-31,2024-02-15,,,110481.06,0
2580,ICM-LT001667,Bigbys,185-634-642-000,Invoice,Rent Receivables,IC0000551,GL0000547,2024-01-31,2024-02-15,,,109195.38,0
2922,ICM-LT000021,SPORTS BASIC,170-151-494-000,Invoice,Rent Receivables,IC0000605,GL0000606,2024-01-31,2024-02-15,,,107871.18,0
3047,ICM-LT000009,GOLDILOCKS,004-624-099-000,Invoice,Rent Receivables,IC0000610,GL0000615,2024-01-31,2024-02-15,,,104111.33,0
420,ICM-ST000020,"ICONIC DEALERSHIP, INC.",005-104-972-002,Invoice,Rent Receivables,IC0000093,GL0000093,2024-01-31,2024-02-10,,,100096.76,0
383,ICM-ST000015,NISSAN CEBU DISTRIBUTORS INC.,022-329-844-000,Invoice,Rent Receivables,IC0000084,GL0000084,2024-01-31,2024-02-10,,,100096.76,0
5154,ICM-LT000128,HARBOUR CITY,009-726-880-000,Invoice,Rent Receivables,IC0000879,GL0000902,2024-01-31,2024-02-15,,,99124.80,0
1095,ICM-LT000032,CHIKITINGS PLAYHOUSE,499-340-420-000,Invoice,Rent Receivables,IC0000238,GL0000238,2024-01-31,2024-02-10,,,98738.54,0
5122,ICM-LT000080,PAYAG,922-522-051-000,Invoice,Rent Receivables,IC0000875,GL0000897,2024-01-31,2024-02-15,,,91671.52,0
1515,ICM-LT000026,ORO CHINA,229-548-804-001,Invoice,Rent Receivables,IC0000326,GL0000326,2024-01-31,2024-02-10,,,91227.28,0
453,ICM-ST000052,TOYOTA CEBU CITY INC.,000-313-856-004,Invoice,Rent Receivables,IC0000101,GL0000101,2024-01-31,2024-02-10,,,89741.94,0
1623,ICM-LT000069,SALON DE ROSE,209-161-308-000,Invoice,Rent Receivables,IC0000349,GL0000349,2024-01-31,2024-02-10,,,85417.91,0
1931,ICM-LT000053,YOUR EYEWEAR SPECIALISTS - YES,220-914-630-016,Invoice,Rent Receivables,IC0000412,GL0000411,2024-01-31,2024-02-10,,,82860.80,0
9492,ICM-LT001761,PLDT-Smart One Digital Store,001-901-673-000,Invoice,Rent Receivables,IC0001571,GL0001604,2024-01-31,2024-02-10,,,79071.93,0
1922,ICM-LT000049,WRENLEYS MOTOR PLAZA,004-489-267-008,Invoice,Rent Receivables,IC0000410,GL0000409,2024-01-31,2024-02-10,,,77805.00,0
1961,ICM-LT000121,USSC,225-763-754-000,Invoice,Rent Receivables,IC0000418,GL0000417,2024-01-31,2024-02-10,,,76128.36,0
437,ICM-ST000139,SUZUKI AUTO BOHOL,000-252-915-000,Invoice,Rent Receivables,IC0000097,GL0000097,2024-01-31,2024-02-10,,,75935.48,0
626,ICM-LT000042,BODY AND SOLE,915-951-665-000,Invoice,Rent Receivables,IC0000139,GL0000139,2024-01-31,2024-02-10,,,74187.02,0
1770,ICM-LT000078,JOJIES PA-INITANG BOL-ANON,118-675-290-012,Invoice,Rent Receivables,IC0000379,GL0000379,2024-01-31,2024-02-10,,,74151.00,0
735,ICM-LT000070,BOHOL DENTAL CARE,168-308-459-001,Invoice,Rent Receivables,IC0000162,GL0000162,2024-01-31,2024-02-10,,,72386.20,0
2802,ICM-LT001557,Kenny Rogers Roasters,604-498-345-000,Invoice,Rent Receivables,IC0000591,GL0000585,2024-01-31,2024-02-15,,,71904.00,0
974,ICM-LT000085,ISLAND SOUVENIRS,002-245-557-039,Invoice,Rent Receivables,IC0000213,GL0000213,2024-01-31,2024-02-10,,,70882.44,0
1230,ICM-LT000081,MAEXEL DELICACIES,222-900-471-000,Invoice,Rent Receivables,IC0000266,GL0000266,2024-01-31,2024-02-10,,,70780.50,0
923,ICM-LT000093,HUAWEI,005-886-978-045,Invoice,Rent Receivables,IC0000202,GL0000202,2024-01-31,2024-02-10,,,70620.00,0
1951,ICM-LT000075,"CHRONOTRON, INC.-UNISILVER TIME",006-344-250-172,Invoice,Rent Receivables,IC0000416,GL0000415,2024-01-31,2024-02-10,,,68043.38,0
617,ICM-LT000003,RAMIREZ CAKE AVENUE,322-454-091-000,Invoice,Rent Receivables,IC0000137,GL0000137,2024-01-31,2024-02-10,,,67971.74,0
1033,ICM-LT000054,FORTRESS,008-403-003-000,Invoice,Rent Receivables,IC0000224,GL0000224,2024-01-31,2024-02-10,,,67098.36,0
680,ICM-LT000020,CORE PACIFIC,216-230-827-003,Invoice,Rent Receivables,IC0000150,GL0000150,2024-01-31,2024-02-10,,,64735.00,0
1940,ICM-LT000057,UNISILVER GROUP INTERNATIONAL CORPORATION,215-024-976-044,Invoice,Rent Receivables,IC0000414,GL0000413,2024-01-31,2024-02-10,,,64200.00,0
2674,ICM-LT000276,SKIN STATION,007-161-555-000,Invoice,Rent Receivables,IC0000570,GL0000564,2024-01-31,2024-02-10,,,63692.73,0
4308,ICM-LT000086,FILA,002-786-458-027,Invoice,Rent Receivables,IC0000773,GL0000790,2024-01-31,2024-02-15,,,62621.68,0
2655,ICM-LT000091,YSTILO SALON,915-951-665-002,Invoice,Rent Receivables,IC0000565,GL0000560,2024-01-31,2024-02-10,,,61599.54,0
3780,ICM-LT000013,RED RIBBON,000-330-151-000,Invoice,Rent Receivables,IC0000710,GL0000722,2024-01-31,2024-02-15,,,59949.53,0
2029,ICM-LT000480,Primary Homes 2F,004-274-439-003,Invoice,Rent Receivables,IC0000434,GL0000433,2024-01-31,2024-02-10,,,59198.39,0
1588,ICM-LT000098,THE RIGHT FIT,284-076-047-000,Invoice,Rent Receivables,IC0000341,GL0000341,2024-01-31,2024-02-10,,,57096.26,0
1656,ICM-LT000076,SANDUGO SANDALS,243-885-927-036,Invoice,Rent Receivables,IC0000356,GL0000356,2024-01-31,2024-02-10,,,56849.10,0
3322,ICM-LT000015,JOLLIBEE,004-917-250-001,Invoice,Creditable WHT Receivable,IC0000630,GL0000640,2024-01-31,2024-02-15,,,55406.68,0
3402,ICM-ST000750,CHANGAN,456-614-581-000,Invoice,Rent Receivables,IC0000756,GL-NT0000002,2024-01-31,2024-02-10,,,55225.80,0
1913,ICM-LT000030,WATCH CENTRAL,229-966-214-003,Invoice,Rent Receivables,IC0000408,GL0000407,2024-01-31,2024-02-10,,,54408.68,0
1597,ICM-LT000060,RJB GOLD AVENUE,146-818-761-001,Invoice,Rent Receivables,IC0000343,GL0000343,2024-01-31,2024-02-10,,,53500.00,0
1687,ICM-LT000100,SPARKLES,405-679-352-000,Invoice,Rent Receivables,IC0000362,GL0000362,2024-01-31,2024-02-10,,,53500.00,0
1696,ICM-LT000175,SULINCAFE 21 MILK TEA SHOP,641-249-378-000,Invoice,Rent Receivables,IC0000364,GL0000364,2024-01-31,2024-02-10,,,52085.78,0
745,ICM-LT000034,DIGITALCOM SERVICES,914-789-732-004,Invoice,Rent Receivables,IC0000164,GL0000164,2024-01-31,2024-02-10,,,51788.00,0
3733,ICM-LT000029,LANDBANK ATM,000-507-736-083,Invoice,Rent Receivables,IC0000699,GL0000711,2024-01-31,2024-02-10,,,51000.00,0
